date	tau	Tb	pwv	lwp	iwp	o3
2021-04-06_00.00.00	1.2332e-01	3.4966e+01	2.6696e+00			2.5697e+02
2021-04-06_01.00.00	1.0280e-01	3.0184e+01	2.2262e+00			2.5620e+02
2021-04-06_02.00.00	9.9248e-02	2.9233e+01	2.1932e+00			2.5683e+02
2021-04-06_03.00.00	9.7058e-02	2.8768e+01	2.1418e+00			2.5775e+02
2021-04-06_04.00.00	9.4617e-02	2.8214e+01	2.0798e+00			2.5631e+02
2021-04-06_05.00.00	8.7258e-02	2.6473e+01	1.9141e+00			2.5568e+02
2021-04-06_06.00.00	8.9253e-02	2.6943e+01	1.9687e+00			2.5401e+02
2021-04-06_07.00.00	1.0183e-01	2.9944e+01	2.2649e+00			2.5304e+02
2021-04-06_08.00.00	1.0994e-01	3.1847e+01	2.4560e+00			2.5273e+02
2021-04-06_09.00.00	1.0502e-01	3.0734e+01	2.3438e+00			2.5237e+02
2021-04-06_10.00.00	1.0242e-01	3.0164e+01	2.2780e+00			2.5387e+02
2021-04-06_11.00.00	1.0570e-01	3.0962e+01	2.3485e+00			2.5289e+02
2021-04-06_12.00.00	1.0577e-01	3.1062e+01	2.3260e+00			2.5250e+02
2021-04-06_13.00.00	1.0028e-01	2.9813e+01	2.1876e+00			2.5112e+02
2021-04-06_14.00.00	1.0152e-01	3.0165e+01	2.2118e+00			2.5137e+02
2021-04-06_15.00.00	9.9924e-02	2.9844e+01	2.1882e+00			2.5213e+02
2021-04-06_16.00.00	1.1336e-01	3.2995e+01	2.5498e+00			2.5061e+02
2021-04-06_17.00.00	1.3150e-01	3.7171e+01	2.9954e+00			2.4979e+02
2021-04-06_18.00.00	1.3789e-01	3.8637e+01	3.1505e+00			2.5010e+02
2021-04-06_19.00.00	1.4433e-01	4.0054e+01	3.3189e+00			2.4922e+02
2021-04-06_20.00.00	1.4919e-01	4.1094e+01	3.4493e+00			2.4736e+02
2021-04-06_21.00.00	1.5152e-01	4.1595e+01	3.5007e+00			2.4771e+02
2021-04-06_22.00.00	1.5171e-01	4.1632e+01	3.4920e+00			2.4993e+02
2021-04-06_23.00.00	1.4616e-01	4.0394e+01	3.3525e+00			2.5112e+02
2021-04-07_00.00.00	1.3791e-01	3.8531e+01	3.1664e+00			2.5218e+02
2021-04-07_01.00.00	1.3553e-01	3.7991e+01	3.1385e+00			2.5223e+02
2021-04-07_02.00.00	1.3722e-01	3.8383e+01	3.1968e+00			2.5097e+02
2021-04-07_03.00.00	1.3231e-01	3.7319e+01	3.0718e+00			2.5216e+02
2021-04-07_04.00.00	1.2694e-01	3.6143e+01	2.9320e+00			2.5176e+02
2021-04-07_05.00.00	1.2593e-01	3.5938e+01	2.9000e+00			2.5084e+02
2021-04-07_06.00.00	1.1847e-01	3.4230e+01	2.7034e+00			2.5062e+02
2021-04-07_07.00.00	1.1324e-01	3.3004e+01	2.5684e+00			2.4967e+02
2021-04-07_08.00.00	1.1308e-01	3.2943e+01	2.5601e+00		2.3660e-08	2.4965e+02
2021-04-07_09.00.00	1.0939e-01	3.2056e+01	2.4692e+00		2.0720e-04	2.4921e+02
2021-04-07_10.00.00	9.5944e-02	2.8862e+01	2.1464e+00		1.0174e-05	2.5007e+02
2021-04-07_11.00.00	8.4706e-02	2.6111e+01	1.8829e+00		2.3660e-08	2.5065e+02
2021-04-07_12.00.00	7.4317e-02	2.3531e+01	1.6438e+00		9.2441e-06	2.4767e+02
2021-04-07_13.00.00	7.0640e-02	2.2623e+01	1.5604e+00		3.1339e-06	2.4609e+02
2021-04-07_14.00.00	6.6938e-02	2.1693e+01	1.4756e+00		2.6663e-04	2.4665e+02
2021-04-07_15.00.00	7.3112e-02	2.3221e+01	1.6408e+00		1.5908e-06	2.4728e+02
2021-04-07_16.00.00	6.9630e-02	2.2326e+01	1.5698e+00		4.0063e-04	2.4697e+02
2021-04-07_17.00.00	6.5810e-02	2.1350e+01	1.4827e+00		1.9680e-04	2.4705e+02
2021-04-07_18.00.00	6.7663e-02	2.1822e+01	1.5250e+00		6.2224e-04	2.4516e+02
2021-04-07_19.00.00	7.4584e-02	2.3528e+01	1.6944e+00		4.4679e-03	2.4437e+02
2021-04-07_20.00.00	7.9820e-02	2.4799e+01	1.8232e+00		6.0638e-03	2.4410e+02
2021-04-07_21.00.00	8.2898e-02	2.5553e+01	1.8983e+00		3.1291e-03	2.4402e+02
2021-04-07_22.00.00	8.2332e-02	2.5416e+01	1.8868e+00		4.7420e-04	2.4431e+02
2021-04-07_23.00.00	8.2401e-02	2.5443e+01	1.8820e+00		3.6060e-07	2.4551e+02
2021-04-08_00.00.00	7.5859e-02	2.3840e+01	1.7291e+00		1.8331e-05	2.4632e+02
2021-04-08_01.00.00	6.8354e-02	2.2008e+01	1.5404e+00		4.4614e-05	2.4632e+02
2021-04-08_02.00.00	6.3033e-02	2.0662e+01	1.4229e+00		9.2379e-05	2.4667e+02
2021-04-08_03.00.00	5.8830e-02	1.9588e+01	1.3157e+00		3.5120e-05	2.4769e+02
2021-04-08_04.00.00	5.8981e-02	1.9592e+01	1.3220e+00		3.1563e-03	2.4815e+02
