date	tau	Tb	pwv	lwp	iwp	o3
2021-04-04_06.00.00	1.5573e-01	4.1939e+01	3.7265e+00		2.3159e-02	2.5567e+02
2021-04-04_07.00.00	1.7289e-01	4.5568e+01	4.1513e+00		1.1796e-02	2.5561e+02
2021-04-04_08.00.00	1.7171e-01	4.5301e+01	4.0938e+00		4.5139e-02	2.5584e+02
2021-04-04_09.00.00	1.5225e-01	4.1121e+01	3.6377e+00		1.7852e-02	2.5572e+02
2021-04-04_10.00.00	1.4229e-01	3.8905e+01	3.3852e+00		3.1441e-02	2.5566e+02
2021-04-04_11.00.00	1.3986e-01	3.8353e+01	3.3246e+00		7.1193e-03	2.5588e+02
2021-04-04_12.00.00	1.3467e-01	3.7238e+01	3.1774e+00		8.2600e-03	2.5664e+02
2021-04-04_13.00.00	1.3209e-01	3.6628e+01	3.1105e+00		4.1425e-02	2.5748e+02
2021-04-04_14.00.00	1.2937e-01	3.6026e+01	3.0492e+00		4.4281e-02	2.5686e+02
2021-04-04_15.00.00	1.3895e-01	3.8134e+01	3.2789e+00		5.5374e-02	2.5744e+02
2021-04-04_16.00.00	1.4712e-01	3.9840e+01	3.4739e+00		1.3198e-01	2.5766e+02
2021-04-04_17.00.00	1.3569e-01	3.7426e+01	3.2144e+00		2.7679e-02	2.5847e+02
2021-04-04_18.00.00	1.4065e-01	3.8503e+01	3.3171e+00		6.6600e-02	2.5887e+02
2021-04-04_19.00.00	1.5337e-01	4.1205e+01	3.5773e+00		2.1401e-01	2.5851e+02
2021-04-04_20.00.00	1.5729e-01	4.2125e+01	3.6991e+00		8.8712e-02	2.5595e+02
2021-04-04_21.00.00	1.4590e-01	3.9594e+01	3.4569e+00		5.7645e-02	2.5557e+02
2021-04-04_22.00.00	1.4337e-01	3.9045e+01	3.3997e+00		1.2638e-02	2.5409e+02
2021-04-04_23.00.00	1.5344e-01	4.1162e+01	3.6042e+00		1.0808e-01	2.5528e+02
2021-04-05_00.00.00	1.4067e-01	3.8402e+01	3.3231e+00		3.4547e-02	2.5496e+02
2021-04-05_01.00.00	1.3518e-01	3.7149e+01	3.1884e+00		1.0162e-01	2.5560e+02
2021-04-05_02.00.00	1.3943e-01	3.8083e+01	3.3131e+00		9.4334e-02	2.5652e+02
2021-04-05_03.00.00	1.2875e-01	3.5760e+01	3.0480e+00		4.2685e-02	2.5743e+02
2021-04-05_04.00.00	1.2724e-01	3.5430e+01	3.0175e+00		3.0714e-03	2.5681e+02
2021-04-05_05.00.00	1.1886e-01	3.3479e+01	2.8195e+00		3.5562e-03	2.5639e+02
2021-04-05_06.00.00	1.1898e-01	3.3458e+01	2.8170e+00		3.1416e-02	2.5701e+02
2021-04-05_07.00.00	1.1306e-01	3.2093e+01	2.6664e+00		2.3840e-02	2.5725e+02
2021-04-05_08.00.00	1.0313e-01	2.9913e+01	2.3875e+00		2.7101e-03	2.5691e+02
2021-04-05_09.00.00	9.1311e-02	2.7243e+01	2.0657e+00		8.1598e-04	2.5692e+02
2021-04-05_10.00.00	8.7629e-02	2.6350e+01	1.9772e+00		2.2379e-06	2.5596e+02
2021-04-05_11.00.00	9.2186e-02	2.7381e+01	2.0934e+00		3.5827e-03	2.5468e+02
2021-04-05_12.00.00	8.6458e-02	2.6007e+01	1.9691e+00		6.5847e-03	2.5485e+02
2021-04-05_13.00.00	8.5783e-02	2.5782e+01	1.9731e+00		7.4590e-03	2.5569e+02
2021-04-05_14.00.00	9.2007e-02	2.7239e+01	2.1272e+00		6.8560e-03	2.5558e+02
2021-04-05_15.00.00	9.0443e-02	2.6940e+01	2.0673e+00		6.2635e-03	2.5744e+02
2021-04-05_16.00.00	9.0023e-02	2.6883e+01	2.0481e+00		3.7159e-03	2.5863e+02
2021-04-05_17.00.00	9.0951e-02	2.7129e+01	2.0628e+00		2.0968e-03	2.5847e+02
2021-04-05_18.00.00	8.7809e-02	2.6554e+01	1.9318e+00			2.5727e+02
2021-04-05_19.00.00	9.4114e-02	2.8104e+01	2.0533e+00			2.5860e+02
2021-04-05_20.00.00	9.9173e-02	2.9278e+01	2.1723e+00			2.5938e+02
2021-04-05_21.00.00	1.1147e-01	3.2027e+01	2.4849e+00			2.6067e+02
2021-04-05_22.00.00	1.0672e-01	3.0891e+01	2.3793e+00		2.8320e-06	2.6064e+02
2021-04-05_23.00.00	9.6322e-02	2.8472e+01	2.1303e+00			2.5972e+02
2021-04-06_00.00.00	9.9406e-02	2.9192e+01	2.2060e+00			2.5997e+02
2021-04-06_01.00.00	9.7236e-02	2.8661e+01	2.1557e+00		9.2180e-04	2.6075e+02
2021-04-06_02.00.00	8.4530e-02	2.5673e+01	1.8443e+00		7.4080e-05	2.5947e+02
2021-04-06_03.00.00	7.2650e-02	2.2840e+01	1.5580e+00			2.5750e+02
2021-04-06_04.00.00	7.3326e-02	2.2971e+01	1.5864e+00		1.9188e-05	2.5731e+02
2021-04-06_05.00.00	8.0299e-02	2.4627e+01	1.7706e+00			2.5684e+02
2021-04-06_06.00.00	8.4515e-02	2.5709e+01	1.8642e+00			2.5661e+02
2021-04-06_07.00.00	8.1295e-02	2.5022e+01	1.7753e+00			2.5672e+02
2021-04-06_08.00.00	8.4126e-02	2.5702e+01	1.8490e+00			2.5652e+02
2021-04-06_09.00.00	7.7498e-02	2.4147e+01	1.6805e+00			2.5628e+02
2021-04-06_10.00.00	7.2756e-02	2.3027e+01	1.5610e+00			2.5714e+02
2021-04-06_11.00.00	7.0259e-02	2.2426e+01	1.5016e+00			2.5875e+02
2021-04-06_12.00.00	6.7897e-02	2.1864e+01	1.4478e+00			2.5833e+02
2021-04-06_13.00.00	7.0281e-02	2.2462e+01	1.5130e+00			2.5810e+02
2021-04-06_14.00.00	7.4804e-02	2.3587e+01	1.6284e+00			2.5688e+02
2021-04-06_15.00.00	7.9280e-02	2.4694e+01	1.7466e+00			2.5588e+02
2021-04-06_16.00.00	9.1837e-02	2.7713e+01	2.0643e+00			2.5360e+02
2021-04-06_17.00.00	9.8406e-02	2.9303e+01	2.2311e+00			2.4998e+02
2021-04-06_18.00.00	1.0285e-01	3.0383e+01	2.3479e+00			2.4977e+02
2021-04-06_19.00.00	1.1125e-01	3.2339e+01	2.5700e+00			2.4988e+02
2021-04-06_20.00.00	1.1986e-01	3.4312e+01	2.7803e+00			2.5004e+02
2021-04-06_21.00.00	1.1404e-01	3.2995e+01	2.6325e+00			2.4931e+02
2021-04-06_22.00.00	1.1432e-01	3.3074e+01	2.6325e+00			2.4930e+02
2021-04-06_23.00.00	1.1128e-01	3.2368e+01	2.5504e+00			2.5155e+02
2021-04-07_00.00.00	1.0592e-01	3.1119e+01	2.4204e+00		3.1788e-05	2.5115e+02
2021-04-07_01.00.00	9.6788e-02	2.8952e+01	2.2029e+00		5.0324e-04	2.5063e+02
2021-04-07_02.00.00	8.7637e-02	2.6771e+01	1.9868e+00		1.2328e-03	2.5003e+02
2021-04-07_03.00.00	8.0728e-02	2.5128e+01	1.8253e+00		1.9904e-05	2.4901e+02
2021-04-07_04.00.00	7.8581e-02	2.4622e+01	1.7741e+00			2.4838e+02
2021-04-07_05.00.00	7.8132e-02	2.4524e+01	1.7631e+00			2.4938e+02
2021-04-07_06.00.00	7.9380e-02	2.4798e+01	1.8008e+00		1.0302e-05	2.4945e+02
2021-04-07_07.00.00	8.0812e-02	2.5142e+01	1.8324e+00		6.1680e-08	2.4886e+02
2021-04-07_08.00.00	7.5391e-02	2.3801e+01	1.7048e+00		8.1520e-05	2.4705e+02
2021-04-07_09.00.00	7.2894e-02	2.3200e+01	1.6374e+00		1.9922e-05	2.4666e+02
2021-04-07_10.00.00	7.2556e-02	2.3117e+01	1.6260e+00		2.0400e-05	2.4692e+02
2021-04-07_11.00.00	7.1430e-02	2.2788e+01	1.6123e+00			2.4705e+02
2021-04-07_12.00.00	7.0827e-02	2.2642e+01	1.5954e+00		7.2540e-07	2.4622e+02
2021-04-07_13.00.00	7.4339e-02	2.3484e+01	1.6948e+00		1.9678e-05	2.4510e+02
2021-04-07_14.00.00	7.7547e-02	2.4278e+01	1.7806e+00		3.5660e-06	2.4571e+02
2021-04-07_15.00.00	8.4186e-02	2.5994e+01	1.9231e+00		2.2100e-04	2.4520e+02
2021-04-07_16.00.00	8.6337e-02	2.6579e+01	1.9619e+00		4.1040e-05	2.4474e+02
2021-04-07_17.00.00	8.8729e-02	2.7140e+01	2.0301e+00		1.4524e-04	2.4428e+02
2021-04-07_18.00.00	8.4530e-02	2.6079e+01	1.9380e+00		9.4360e-07	2.4445e+02
2021-04-07_19.00.00	7.8023e-02	2.4464e+01	1.7825e+00		1.8874e-07	2.4387e+02
2021-04-07_20.00.00	7.7084e-02	2.4215e+01	1.7649e+00			2.4383e+02
