date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-05-10_12.00.00	0.1036768	30.05112	2.4022359170730248		1.3925999940168127e-05	256.6320529998511	23.362158150743642	-2.8389441330056115
2021-05-10_13.00.00	0.1075054	30.97895	2.4869644299518354		1.1518000418823107e-05	255.8261500669942	24.98137567201314	-2.8058804564932984
2021-05-10_14.00.00	0.1204706	33.90762	2.8158817722200613		0.0005438741137403895	252.8147238350454	25.74240510846386	-2.266673570892692
2021-05-10_15.00.00	0.1275727	35.52761	2.997056271876028		0.0007563900439764262	250.8475882090219	26.399617556335244	-1.7321831158187138
2021-05-10_16.00.00	0.1319519	36.51665	3.113037365004338		0.0018288000717982468	249.12952210808396	27.78312822490418	-1.4553733380213885
2021-05-10_17.00.00	0.1386338	37.98557	3.2874532563496577		0.0015304998952942231	247.73663838022927	28.071527222298332	-1.2770364301281347
2021-05-10_18.00.00	0.1410096	38.5135	3.3360846022676283		0.0031624614832321176	246.5809513175525	28.706324102176797	-1.4225223132393694
2021-05-10_19.00.00	0.1432543	39.01161	3.3848595446794505		0.0010470897777245939	246.52582998362365	28.811479555702835	-1.4919999563134638
2021-05-10_20.00.00	0.1502762	40.5337	3.5588326801687256		0.0008971885003141173	247.54525829983623	28.834478589314244	-1.623504078254939
2021-05-10_21.00.00	0.158009	42.21621	3.724504143357166		0.005466721512549735	248.03401816287032	29.069353214905963	-1.8546247946969174
2021-05-10_22.00.00	0.16455	43.68926	3.856074430849313		0.012614329733449009	248.51875837427423	30.49746594126349	-2.2425127051248523
2021-05-10_23.00.00	0.174335	45.88973	4.032542555419272		0.011307906781942741	248.58850677385738	32.9113714255663	-2.5639050402219254
2021-05-11_00.00.00	0.1691891	44.87758	3.888509288898196		0.001708041104496365	248.8637412535358	37.01141997366159	-2.8549559909925506
2021-05-11_01.00.00	0.1629267	43.5435	3.73246178239148		9.797998623866933e-06	249.1510346881048	37.11635449876453	-3.0850674586368427
2021-05-11_02.00.00	0.1653191	44.06654	3.794130493313788		3.846600053848685e-06	250.49854845913353	39.46645481327684	-3.2489723760205607
2021-05-11_03.00.00	0.1697673	45.04969	3.884605259221587		0.0007228465013312591	250.50264254875688	43.86027374419309	-3.3784933699932935
2021-05-11_04.00.00	0.175412	46.27054	3.996828910760762		0.0009716968319023544	250.2596769391097	47.240742788176505	-3.4821087332660454
2021-05-11_05.00.00	0.1814431	47.54817	4.121066802285577		0.0006818500014957968	251.30340926008634	49.53209863517738	-3.674644226956161
2021-05-11_06.00.00	0.1854274	48.38453	4.205337003021509		0.0006818598737547492	253.70753312490694	54.0625949371778	-3.833695021127653
2021-05-11_07.00.00	0.1922873	49.80513	4.351604989978162		0.0012807000329075299	255.64746166443354	58.043392730354824	-4.154842476955594
2021-05-11_08.00.00	0.2083783	53.08009	4.67483770604601		0.06121709994914291	256.9129075480125	62.77941617878784	-4.610052936528348
2021-05-11_09.00.00	0.2057244	52.52983	4.646169264367129		0.019186998534119124	256.56375614113443	66.039272750853	-4.652812345584039
2021-05-11_10.00.00	0.2008087	51.55933	4.523606665270589		0.006699799563227331	253.9113815691529	67.11016080256101	-4.5655202741786525
2021-05-11_11.00.00	0.2015097	51.72754	4.5049391210697936		0.01421549944655518	251.6299315170463	69.33536203935384	-4.709458302578128
2021-05-11_12.00.00	0.210464	53.58131	4.662141382714571		0.08011356089388817	250.87799612922436	72.01373127115625	-4.853710073625734
2021-05-11_13.00.00	0.2039002	52.21133	4.57324916983277		0.007395820743710174	251.09360577638827	74.43456654163629	-4.901504867044707
2021-05-11_14.00.00	0.2018657	51.8107	4.523128010291082	5.945298710623149e-05	0.004256711640290783	252.69089623343754	65.91697316698381	-3.9117029363147253
2021-05-11_15.00.00	0.1986559	51.12931	4.494914290842732	5.866000538486852e-05	0.0033898315732790855	253.25320083370553	60.710914686560656	-3.403568642411585
2021-05-11_16.00.00	0.2014979	51.65587	4.598160169922518	4.90399976067251e-05	0.004168199359798965	253.51343605776387	58.28980870856061	-3.122920539254096
2021-05-11_17.00.00	0.1879737	48.81642	4.310868459628444	1.4318000418823106e-06	0.00107230621952314	252.72923179991068	53.7771812521263	-2.7624883134934066
2021-05-11_18.00.00	0.1987071	50.98497	4.538567624973823	0.00013625500344033266	0.029851443443922578	251.81606371892215	50.80885155426009	-2.7830744534675205
2021-05-11_19.00.00	0.2073583	52.69606	4.640093337721003	0.0014775720226164477	0.11745412391180782	251.22885960994492	49.852765117016126	-2.8863995477983053
2021-05-11_20.00.00	0.193508	49.72458	4.427432913513028	1.579200047865498e-05	0.09649008286714333	253.04030817329163	44.16218363935022	-2.8732126676791268
2021-05-11_21.00.00	0.1794326	46.72963	4.138845843180662	2.4659999401681273e-07	0.04227271367457444	253.123902039601	41.96655645002842	-3.054958944426801
2021-05-11_22.00.00	0.179034	46.59815	4.146656894127502		0.034746342776797196	252.41759714158107	42.62816128077699	-3.663227066894592
