date	tau	Tb	pwv	lwp	iwp	o3
2021-04-03_00.00.00	3.2447e-02	1.1931e+01	2.3345e-01		1.0743e-03	4.2518e+02
2021-04-03_01.00.00	3.1985e-02	1.1813e+01	2.2480e-01		9.8835e-04	4.2675e+02
2021-04-03_02.00.00	3.1194e-02	1.1619e+01	2.1081e-01		1.2056e-03	4.2068e+02
2021-04-03_03.00.00	3.0842e-02	1.1527e+01	2.0404e-01		1.1328e-03	4.1811e+02
2021-04-03_04.00.00	3.0964e-02	1.1546e+01	2.0707e-01		9.9300e-04	4.1723e+02
2021-04-03_05.00.00	3.1625e-02	1.1691e+01	2.1745e-01		9.6864e-04	4.2331e+02
2021-04-03_06.00.00	3.2315e-02	1.1838e+01	2.2819e-01		3.0060e-03	4.2067e+02
2021-04-03_07.00.00	3.2423e-02	1.1848e+01	2.2955e-01		4.6302e-03	4.2073e+02
2021-04-03_08.00.00	3.0899e-02	1.1485e+01	2.0103e-01		3.5058e-03	4.1796e+02
2021-04-03_09.00.00	2.9028e-02	1.1041e+01	1.6817e-01		2.5833e-03	4.0926e+02
2021-04-03_10.00.00	2.9566e-02	1.1159e+01	1.7740e-01		2.1250e-03	4.1670e+02
2021-04-03_11.00.00	2.9662e-02	1.1172e+01	1.7811e-01		2.2774e-03	4.1505e+02
2021-04-03_12.00.00	2.9540e-02	1.1135e+01	1.7493e-01		2.7678e-03	4.2338e+02
2021-04-03_13.00.00	2.9096e-02	1.1028e+01	1.6655e-01		2.0918e-03	4.2988e+02
2021-04-03_14.00.00	2.9766e-02	1.1182e+01	1.7846e-01		1.7600e-03	4.3118e+02
2021-04-03_15.00.00	2.9922e-02	1.1215e+01	1.7989e-01		1.8680e-03	4.3602e+02
2021-04-03_16.00.00	2.9966e-02	1.1223e+01	1.8025e-01		1.6333e-03	4.3325e+02
2021-04-03_17.00.00	2.9921e-02	1.1212e+01	1.7913e-01		1.2863e-03	4.3886e+02
2021-04-03_18.00.00	2.9853e-02	1.1195e+01	1.7770e-01		9.3119e-04	4.4096e+02
2021-04-03_19.00.00	2.9978e-02	1.1219e+01	1.7895e-01		1.0572e-03	4.3966e+02
2021-04-03_20.00.00	2.9955e-02	1.1207e+01	1.7745e-01		1.1183e-03	4.3029e+02
2021-04-03_21.00.00	2.9700e-02	1.1143e+01	1.7216e-01		1.0462e-03	4.2708e+02
2021-04-03_22.00.00	2.9400e-02	1.1071e+01	1.6627e-01		7.0129e-04	4.2698e+02
2021-04-03_23.00.00	2.9266e-02	1.1038e+01	1.6268e-01		5.9079e-04	4.3252e+02
2021-04-04_00.00.00	2.8984e-02	1.0971e+01	1.5614e-01		3.7137e-04	4.3546e+02
2021-04-04_01.00.00	2.8709e-02	1.0909e+01	1.5091e-01		4.4730e-05	4.3572e+02
2021-04-04_02.00.00	2.8441e-02	1.0851e+01	1.4633e-01		2.0444e-05	4.3064e+02
2021-04-04_03.00.00	2.8275e-02	1.0816e+01	1.4342e-01		2.0981e-05	4.3115e+02
2021-04-04_04.00.00	2.8325e-02	1.0832e+01	1.4449e-01		1.3453e-05	4.2956e+02
2021-04-04_05.00.00	2.8482e-02	1.0873e+01	1.4689e-01		7.9400e-06	4.2810e+02
2021-04-04_06.00.00	2.8630e-02	1.0914e+01	1.4907e-01		8.0070e-06	4.2973e+02
2021-04-04_07.00.00	2.8813e-02	1.0966e+01	1.5222e-01		8.0720e-06	4.3014e+02
2021-04-04_08.00.00	2.9010e-02	1.1019e+01	1.5530e-01		8.1590e-06	4.2992e+02
2021-04-04_09.00.00	2.9321e-02	1.1102e+01	1.6136e-01		8.2260e-06	4.2679e+02
2021-04-04_10.00.00	2.9605e-02	1.1182e+01	1.6773e-01		6.1612e-06	4.2531e+02
2021-04-04_11.00.00	2.9869e-02	1.1255e+01	1.7332e-01		5.7430e-06	4.2129e+02
2021-04-04_12.00.00	3.0040e-02	1.1311e+01	1.7803e-01		5.7670e-06	4.1586e+02
2021-04-04_13.00.00	2.9997e-02	1.1316e+01	1.7920e-01		5.7800e-06	4.1035e+02
2021-04-04_14.00.00	2.9950e-02	1.1317e+01	1.7976e-01		5.7980e-06	4.0326e+02
2021-04-04_15.00.00	2.9745e-02	1.1280e+01	1.7777e-01		1.8413e-06	3.9667e+02
2021-04-04_16.00.00	2.9464e-02	1.1224e+01	1.7482e-01			3.9177e+02
2021-04-04_17.00.00	2.9174e-02	1.1163e+01	1.6995e-01			3.9496e+02
2021-04-04_18.00.00	2.8806e-02	1.1082e+01	1.6377e-01			3.9506e+02
2021-04-04_19.00.00	2.8058e-02	1.0911e+01	1.5203e-01			3.9133e+02
2021-04-04_20.00.00	2.7148e-02	1.0702e+01	1.3846e-01			3.8925e+02
2021-04-04_21.00.00	2.7224e-02	1.0732e+01	1.4106e-01			3.8687e+02
2021-04-04_22.00.00	2.6494e-02	1.0565e+01	1.3149e-01			3.8497e+02
2021-04-04_23.00.00	2.6382e-02	1.0547e+01	1.3238e-01			3.8325e+02
2021-04-05_00.00.00	2.6147e-02	1.0494e+01	1.3002e-01			3.8403e+02
2021-04-05_01.00.00	2.6264e-02	1.0528e+01	1.3430e-01			3.8126e+02
2021-04-05_02.00.00	2.5934e-02	1.0454e+01	1.3095e-01			3.8022e+02
2021-04-05_03.00.00	2.6081e-02	1.0497e+01	1.3482e-01			3.8110e+02
2021-04-05_04.00.00	2.5890e-02	1.0452e+01	1.3335e-01			3.8224e+02
2021-04-05_05.00.00	2.7706e-02	1.0912e+01	1.6573e-01			3.7995e+02
2021-04-05_06.00.00	3.4419e-02	1.2575e+01	2.8095e-01		5.0820e-04	3.7314e+02
2021-04-05_07.00.00	3.9083e-02	1.3724e+01	3.6102e-01		1.8466e-03	3.7236e+02
2021-04-05_08.00.00	3.9944e-02	1.3944e+01	3.7430e-01		2.1766e-03	3.7503e+02
2021-04-05_09.00.00	4.0186e-02	1.3998e+01	3.7775e-01		1.2473e-03	3.7442e+02
2021-04-05_10.00.00	4.0421e-02	1.4049e+01	3.8279e-01		6.3910e-04	3.7504e+02
2021-04-05_11.00.00	4.0733e-02	1.4126e+01	3.9036e-01		3.6920e-04	3.7537e+02
2021-04-05_12.00.00	4.1014e-02	1.4195e+01	3.9769e-01		2.1393e-04	3.7210e+02
2021-04-05_13.00.00	4.0354e-02	1.4035e+01	3.8812e-01		4.3730e-06	3.7108e+02
2021-04-05_14.00.00	3.8642e-02	1.3619e+01	3.6252e-01			3.7098e+02
2021-04-05_15.00.00	3.6804e-02	1.3161e+01	3.3638e-01			3.6538e+02
2021-04-05_16.00.00	3.5300e-02	1.2779e+01	3.1670e-01		2.6300e-06	3.6586e+02
2021-04-05_17.00.00	3.5688e-02	1.2862e+01	3.2824e-01		2.5493e-05	3.6656e+02
2021-04-05_18.00.00	3.7025e-02	1.3172e+01	3.5643e-01		2.5721e-05	3.6710e+02
2021-04-05_19.00.00	3.7503e-02	1.3287e+01	3.6877e-01		3.2220e-06	3.6414e+02
2021-04-05_20.00.00	3.9181e-02	1.3676e+01	4.0140e-01			3.6212e+02
2021-04-05_21.00.00	3.9879e-02	1.3830e+01	4.1861e-01		7.7085e-05	3.6333e+02
2021-04-05_22.00.00	4.3687e-02	1.4739e+01	4.9102e-01		1.0410e-03	3.6593e+02
2021-04-05_23.00.00	5.3505e-02	1.7052e+01	6.7356e-01		5.0023e-03	3.6627e+02
2021-04-06_00.00.00	6.8212e-02	2.0479e+01	9.3840e-01		1.2100e-02	3.6557e+02
2021-04-06_01.00.00	9.0709e-02	2.5579e+01	1.3458e+00		3.0955e-02	3.6678e+02
2021-04-06_02.00.00	1.0151e-01	2.7992e+01	1.5363e+00		5.2984e-02	3.6844e+02
2021-04-06_03.00.00	1.0252e-01	2.8218e+01	1.5490e+00		7.0777e-02	3.6601e+02
2021-04-06_04.00.00	1.0242e-01	2.8196e+01	1.5406e+00		8.7168e-02	3.6724e+02
2021-04-06_05.00.00	1.0218e-01	2.8146e+01	1.5394e+00		8.1095e-02	3.6849e+02
2021-04-06_06.00.00	1.0094e-01	2.7874e+01	1.5164e+00		7.4049e-02	3.6697e+02
2021-04-06_07.00.00	9.9169e-02	2.7482e+01	1.4821e+00		6.5302e-02	3.7038e+02
2021-04-06_08.00.00	9.7910e-02	2.7203e+01	1.4539e+00		6.8041e-02	3.7039e+02
2021-04-06_09.00.00	9.5993e-02	2.6775e+01	1.4214e+00		5.3880e-02	3.6396e+02
2021-04-06_10.00.00	9.3620e-02	2.6239e+01	1.3714e+00		5.6407e-02	3.6561e+02
2021-04-06_11.00.00	9.1014e-02	2.5637e+01	1.3284e+00		4.0905e-02	3.6369e+02
2021-04-06_12.00.00	8.8141e-02	2.4984e+01	1.2763e+00		2.8735e-02	3.5707e+02
2021-04-06_13.00.00	8.5610e-02	2.4412e+01	1.2266e+00		2.8820e-02	3.4938e+02
2021-04-06_14.00.00	8.2909e-02	2.3804e+01	1.1767e+00		1.8820e-02	3.4612e+02
2021-04-06_15.00.00	8.0097e-02	2.3174e+01	1.1233e+00		1.3579e-02	3.4406e+02
2021-04-06_16.00.00	7.9074e-02	2.2930e+01	1.1039e+00		1.1165e-02	3.4421e+02
2021-04-06_17.00.00	7.8089e-02	2.2693e+01	1.0863e+00		9.0376e-03	3.4543e+02
2021-04-06_18.00.00	7.4204e-02	2.1809e+01	1.0114e+00		1.0535e-02	3.4697e+02
2021-04-06_19.00.00	7.3566e-02	2.1647e+01	9.9841e-01		1.1012e-02	3.5212e+02
2021-04-06_20.00.00	7.2888e-02	2.1472e+01	9.8448e-01		9.9711e-03	3.6121e+02
2021-04-06_21.00.00	7.1893e-02	2.1225e+01	9.6463e-01		1.0035e-02	3.6286e+02
2021-04-06_22.00.00	7.0738e-02	2.0944e+01	9.4225e-01		9.5366e-03	3.6232e+02
2021-04-06_23.00.00	6.9595e-02	2.0667e+01	9.1935e-01		9.9290e-03	3.6797e+02
2021-04-07_00.00.00	6.8349e-02	2.0366e+01	8.9334e-01		1.2966e-02	3.7001e+02
2021-04-07_01.00.00	6.7476e-02	2.0154e+01	8.7461e-01		1.5293e-02	3.7732e+02
2021-04-07_02.00.00	6.6563e-02	1.9937e+01	8.5782e-01		1.2828e-02	3.7876e+02
2021-04-07_03.00.00	6.5297e-02	1.9636e+01	8.3415e-01		1.0920e-02	3.7566e+02
2021-04-07_04.00.00	6.3857e-02	1.9289e+01	8.0657e-01		1.0268e-02	3.7689e+02
2021-04-07_05.00.00	6.2922e-02	1.9063e+01	7.8884e-01		9.5763e-03	3.8059e+02
2021-04-07_06.00.00	6.1942e-02	1.8831e+01	7.7057e-01		8.4726e-03	3.8271e+02
2021-04-07_07.00.00	6.1052e-02	1.8620e+01	7.5352e-01		6.8627e-03	3.8367e+02
2021-04-07_08.00.00	5.9930e-02	1.8352e+01	7.3135e-01		6.7110e-03	3.8199e+02
2021-04-07_09.00.00	5.9194e-02	1.8175e+01	7.1690e-01		6.5792e-03	3.8927e+02
2021-04-07_10.00.00	5.8557e-02	1.8028e+01	7.0542e-01		4.9000e-03	3.9746e+02
2021-04-07_11.00.00	5.8283e-02	1.7964e+01	7.0035e-01		3.9576e-03	3.9704e+02
2021-04-07_12.00.00	5.7934e-02	1.7881e+01	6.9457e-01		2.4028e-03	3.9808e+02
2021-04-07_13.00.00	5.7569e-02	1.7796e+01	6.8807e-01		1.1540e-03	3.9930e+02
2021-04-07_14.00.00	5.7404e-02	1.7753e+01	6.8460e-01		1.1307e-03	4.0710e+02
2021-04-07_15.00.00	5.7344e-02	1.7737e+01	6.8240e-01		2.0176e-03	4.1198e+02
2021-04-07_16.00.00	5.4586e-02	1.7110e+01	6.3393e-01		1.3317e-03	4.1379e+02
2021-04-07_17.00.00	5.4381e-02	1.7059e+01	6.2926e-01		1.5105e-03	4.1890e+02
2021-04-07_18.00.00	5.4074e-02	1.6986e+01	6.2327e-01		9.0793e-04	4.2007e+02
