date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-05-21_06.00.00	0.1156042	31.43822	1.8611894576240764		0.006074212462979029	394.45139199047196	98.49198394213742	-21.7403531315789
2021-05-21_07.00.00	0.1091722	30.00544	1.7388072516229394		0.008333700302150955	397.5707160934941	97.33959666273424	-21.223557783227363
2021-05-21_08.00.00	0.1066816	29.44623	1.6913055314566068		0.0064387291710294075	400.9033050468959	89.48830419097261	-20.859414625008498
2021-05-21_09.00.00	0.1028042	28.61265	1.6126664073952195		0.0023524040446345766	405.3081732916481	85.12305675221788	-20.756932805143208
2021-05-21_10.00.00	0.1023041	28.50628	1.598423729320609		0.0005096188709725671	408.08843233586424	88.73277861467346	-20.868115087704012
2021-05-21_11.00.00	0.09887487	27.73806	1.53305950279714		9.352819576988662e-05	406.8293136817031	90.8778206241677	-20.9112231356834
2021-05-21_12.00.00	0.08787413	25.29334	1.3307371286684415		3.589798665749244e-05	405.27207086496946	91.10399149901185	-20.78111471788145
2021-05-21_13.00.00	0.08181845	23.91858	1.2275753133694318		2.5037999222185657e-05	402.55508411493224	90.0226136019337	-20.613747228599948
2021-05-21_14.00.00	0.08550072	24.73209	1.3031833547730876		3.447500523528884e-06	401.27177311299687	89.29033108496172	-20.445820922657106
2021-05-21_15.00.00	0.09010393	25.75127	1.39792443234511		1.5174999252101595e-05	401.52858418937024	88.92041580429762	-20.336718766290772
2021-05-21_16.00.00	0.09151792	26.0528	1.4351901157746731		9.074999252101594e-07	402.05895489057616	87.98822184303549	-20.200028000058296
2021-05-21_17.00.00	0.09169777	26.08966	1.441255871002483			401.3741253535805	87.96731541599604	-20.23952827571003
2021-05-21_18.00.00	0.09804059	27.47976	1.573632093816376		0.0012886178837466717	398.35901444097067	89.03357352500049	-20.36368125336736
2021-05-21_19.00.00	0.113642	30.89428	1.86938732162623		0.010705205372902144	393.03037070120587	91.29813175371011	-20.446768699147327
2021-05-21_20.00.00	0.1192379	32.12036	1.9784775780058037		0.010168169443862745	389.4454369510198	95.8370893016611	-20.28441473152165
2021-05-21_21.00.00	0.1205345	32.39981	2.0039785203577942		0.013242728931701917	386.0640911121036	96.4541402165188	-20.280917443359158
2021-05-21_22.00.00	0.1200193	32.29423	1.9994974122715168		0.006874299219194064	385.8377996129224	96.67852464779632	-20.35635761994064
2021-05-21_23.00.00	0.1183518	31.95577	1.960216591378227		0.005941328865886858	385.80802441566175	97.87373981749893	-20.952202471330793
2021-05-22_00.00.00	0.1158653	31.42845	1.902623926765788		0.005896200676100158	388.0099002530892	99.0161836517753	-21.621611520228527
2021-05-22_01.00.00	0.1146858	31.16266	1.8790346127382056		0.007812690340144195	388.96866160488315	99.69469257714879	-22.14061678725369
2021-05-22_02.00.00	0.1143909	31.0957	1.8792518024351572		0.0059186705357944175	389.19085901444095	99.793652531343	-22.45665877691701
2021-05-22_03.00.00	0.1129629	30.78259	1.8534717443982407		0.004817877763484608	388.9035283608754	100.0	-23.173511221842972
2021-05-22_04.00.00	0.110995	30.34531	1.8180994405719926		0.004180428994525384	388.5458538037814	100.0	-23.73908481125136
2021-05-22_05.00.00	0.1099052	30.09296	1.8050866066353546		0.002521701618452149	387.32432633616196	99.96526342493893	-24.235552058177404
2021-05-22_06.00.00	0.1090302	29.8892	1.7976333502856974		0.0006912615550303646	386.4768497841298	98.95902901236195	-24.538730810755823
2021-05-22_07.00.00	0.108625	29.78237	1.790884015915278		0.00037041702815089595	385.23112996873607	99.44791513441166	-24.757127549995204
2021-05-22_08.00.00	0.110185	30.11224	1.8243542645167081		0.0012643970443055015	383.33928837278546	98.66528078479716	-24.493108686102914
2021-05-22_09.00.00	0.1116704	30.42463	1.8538094953181559		0.004374113740389506	381.1150811374125	97.70317241585788	-24.062328566662956
2021-05-22_10.00.00	0.1137155	30.86625	1.8934107158883535		0.01256092380411045	379.59766264701506	95.604385809843	-23.302179268880593
2021-05-22_11.00.00	0.1136217	30.8719	1.8938394112543753		0.007958898495228408	382.051511091261	93.0813006417508	-22.38540363472174
2021-05-22_12.00.00	0.1146228	31.11099	1.9149807042211386		0.005683043647350943	385.10719071013847	91.76652533130019	-21.831017333954662
2021-05-22_13.00.00	0.1184983	31.95412	1.981266939898884		0.010464720136416668	386.4507964865267	92.4077615930456	-21.2578429840336
2021-05-22_14.00.00	0.1216821	32.65783	2.038943668292099		0.01415410895383971	387.66636891469403	90.24720282221234	-20.29466170375173
2021-05-22_15.00.00	0.1229342	32.95808	2.0616390941454514		0.018166039429203935	388.72897126693465	87.81163398681933	-19.487079229734775
2021-05-22_16.00.00	0.1243596	33.28196	2.0838190684177462		0.025634199898285817	389.8060890278398	87.00352695962037	-19.027398527438976
2021-05-22_17.00.00	0.1244657	33.32726	2.0865225715738775		0.021998698656774462	387.6820008932559	86.63963368605145	-18.72529291619395
2021-05-22_18.00.00	0.1200333	32.3843	2.010412540760463		0.01189308941873336	384.7837576298943	85.52895911428408	-18.65336655482784
