date	tau	Tb	pwv	lwp	iwp	o3
2021-04-03_06.00.00	1.3756e-01	3.7499e+01	3.1332e+00		1.1474e-03	2.9512e+02
2021-04-03_07.00.00	1.4190e-01	3.8468e+01	3.2467e+00		3.1526e-04	2.9426e+02
2021-04-03_08.00.00	1.4892e-01	4.0043e+01	3.4126e+00		1.8390e-04	2.9571e+02
2021-04-03_09.00.00	1.5788e-01	4.2043e+01	3.6070e+00		2.2779e-04	2.9774e+02
2021-04-03_10.00.00	1.6031e-01	4.2642e+01	3.6442e+00		3.6659e-05	2.9885e+02
2021-04-03_11.00.00	1.6591e-01	4.3916e+01	3.7684e+00		1.1120e-04	2.9864e+02
2021-04-03_12.00.00	1.7030e-01	4.4879e+01	3.8714e+00		5.3500e-05	2.9846e+02
2021-04-03_13.00.00	1.7739e-01	4.6429e+01	4.0290e+00		1.9724e-04	2.9904e+02
2021-04-03_14.00.00	1.8735e-01	4.8542e+01	4.2513e+00		1.1477e-03	2.9958e+02
2021-04-03_15.00.00	1.9423e-01	5.0016e+01	4.3956e+00		1.3812e-03	3.0099e+02
2021-04-03_16.00.00	1.9948e-01	5.1160e+01	4.5031e+00		3.6026e-03	2.9910e+02
2021-04-03_17.00.00	1.9999e-01	5.1300e+01	4.5032e+00		1.2686e-03	2.9822e+02
2021-04-03_18.00.00	2.0108e-01	5.1535e+01	4.5282e+00		8.2310e-04	2.9642e+02
2021-04-03_19.00.00	1.9605e-01	5.0507e+01	4.4135e+00		5.5811e-04	2.9458e+02
2021-04-03_20.00.00	1.9044e-01	4.9341e+01	4.2793e+00		5.9286e-04	2.9312e+02
2021-04-03_21.00.00	1.8840e-01	4.8896e+01	4.2390e+00		1.2188e-03	2.9213e+02
2021-04-03_22.00.00	1.9656e-01	5.0629e+01	4.4294e+00		1.3728e-03	2.9093e+02
2021-04-03_23.00.00	2.0288e-01	5.2043e+01	4.5444e+00	5.5700e-05	1.4166e-03	2.9202e+02
2021-04-04_00.00.00	2.0654e-01	5.2843e+01	4.5962e+00	5.3120e-04	2.3061e-03	2.9352e+02
2021-04-04_01.00.00	2.1563e-01	5.4703e+01	4.8153e+00	2.0180e-04	7.1187e-03	2.9585e+02
2021-04-04_02.00.00	2.1210e-01	5.4022e+01	4.7269e+00		8.0107e-03	2.9570e+02
2021-04-04_03.00.00	2.0224e-01	5.1891e+01	4.5236e+00	2.9810e-07	8.7219e-03	2.9464e+02
2021-04-04_04.00.00	1.9344e-01	5.0002e+01	4.3367e+00		1.4685e-02	2.9561e+02
2021-04-04_05.00.00	1.9674e-01	5.0652e+01	4.4221e+00	8.9040e-06	2.1862e-02	2.9614e+02
2021-04-04_06.00.00	1.9385e-01	5.0117e+01	4.3317e+00	1.2600e-06	1.0401e-02	2.9653e+02
2021-04-04_07.00.00	1.9435e-01	5.0242e+01	4.3372e+00		3.9859e-03	2.9742e+02
2021-04-04_08.00.00	1.9965e-01	5.1319e+01	4.4682e+00	4.4530e-07	2.3267e-03	2.9641e+02
2021-04-04_09.00.00	2.0985e-01	5.3416e+01	4.6971e+00		3.2834e-03	2.9839e+02
2021-04-04_10.00.00	2.1530e-01	5.4555e+01	4.7987e+00		7.6335e-03	2.9964e+02
2021-04-04_11.00.00	2.1599e-01	5.4763e+01	4.7896e+00		3.9180e-03	3.0140e+02
2021-04-04_12.00.00	2.1835e-01	5.5317e+01	4.8282e+00		2.4826e-03	3.0185e+02
