date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-08-25_00.00.00	0.2066553	55.12358	4.408792293654829			272.11042876284057	62.20365552444779	4.670671962761389
2021-08-25_01.00.00	0.1964356	52.88997	4.181975648427918			269.54030817329163	62.066322454544384	4.754248454179049
2021-08-25_02.00.00	0.1889372	51.20797	4.022864750052353			272.20954295072204	61.8787316451685	4.639253516179053
2021-08-25_03.00.00	0.1718149	47.33466	3.6928710323989593			274.2603841000447	54.1110121636299	4.862857839196181
2021-08-25_04.00.00	0.1561228	43.70901	3.3934095192509046			276.14306982283756	46.30382281028233	5.123865134809591
2021-08-25_05.00.00	0.1429683	40.61656	3.125682831244204			273.4998511240137	41.486965249399304	5.187454617237449
2021-08-25_06.00.00	0.1298984	37.51483	2.849917731175397			273.9807205597737	36.0267878165678	5.335850596775799
2021-08-25_07.00.00	0.1170863	34.43747	2.5653624315672956			276.2695771921989	31.72271521855129	5.337725957886505
2021-08-25_08.00.00	0.1079277	32.20687	2.365607443084931			274.7054860800953	28.16583525554321	5.29652880575469
2021-08-25_09.00.00	0.1033862	31.08817	2.2725904209172225			275.4193464344201	25.543545742017614	5.2226693307406435
2021-08-25_10.00.00	0.09709833	29.52257	2.1379178508391417			277.2877772815245	22.65970800765905	5.171753238711915
2021-08-25_11.00.00	0.0874462	27.11806	1.9140530110389804			275.86444841447076	19.915732365669967	5.109690595321695
2021-08-25_12.00.00	0.07773961	24.65933	1.6899371765339395			276.0831472383505	16.876673465493575	4.966110792510676
2021-08-25_13.00.00	0.06744809	22.02052	1.4485867711730038			275.0026425487569	13.611897421446042	4.983585905154371
2021-08-25_14.00.00	0.06153123	20.48688	1.3066347563346994			275.8266711329463	11.250410766141254	4.899454882924431
2021-08-25_15.00.00	0.05661191	19.19377	1.1913620725760612			275.015445883579	8.61363763653147	4.882484173826242
2021-08-25_16.00.00	0.0523518	18.07122	1.0894528375265504			274.61258746464193	6.892961326056083	4.97726572622696
2021-08-25_17.00.00	0.04846592	17.05993	0.989324797319532			275.93486675599223	5.850676278476487	5.068269888936811
2021-08-25_18.00.00	0.04665701	16.58224	0.9424842193436443			281.29667262170614	5.648477832944564	5.111000862071364
2021-08-25_19.00.00	0.04652586	16.55084	0.9381221766835193			281.33363108530597	5.525631851504722	5.1566620441425925
2021-08-25_20.00.00	0.04742781	16.80244	0.9589379842642176			277.8740509155873	6.3339706299978005	5.242839896754788
2021-08-25_21.00.00	0.04855069	17.10405	0.9850964788943071			278.5233735298496	8.18962865586073	5.275374625489974
2021-08-25_22.00.00	0.0486116	17.11348	0.9885646333802016			279.4737978264106	9.776063360572861	5.315941914666496
2021-08-25_23.00.00	0.04907139	17.22849	1.0000005983187243	5.484000957309959e-07		279.61865416108384	12.039027676509953	5.2112064174732495
2021-08-26_00.00.00	0.05317994	18.32979	1.0797205851557123	0.000196		275.8303185946107	21.42516255795714	4.656902261535379
2021-08-26_01.00.00	0.05812723	19.65966	1.1180363179465702	0.0013940000598318724		277.38570046151557	25.090992663847285	4.793711806189776
2021-08-26_02.00.00	0.06331999	21.03078	1.1427603434349478	0.002999000807730278		277.8695846359982	24.693289177140866	4.978008175989771
2021-08-26_03.00.00	0.05631747	19.17136	1.1276725401621444	0.0005732001076973704		280.05705672175077	21.824525885421306	5.214565637545263
2021-08-26_04.00.00	0.0608897	20.36004	1.1588213121129627	0.0019440000598318723		280.6098704778919	18.743255314128703	5.279647397939641
2021-08-26_05.00.00	0.05166904	17.92637	1.0577461333652436	1.13e-05		281.84702992407324	13.046882878446763	5.500337660004902
2021-08-26_06.00.00	0.0509249	17.71969	1.041325575133874	1.8e-05		278.6207012058955	11.314024887878006	5.543944720844593
2021-08-26_07.00.00	0.04970326	17.38976	0.9992712477936996	0.0002465000149579681		279.05590293285695	10.244547491385271	5.447380839738116
2021-08-26_08.00.00	0.048878	17.1595	0.9945648727076913			281.8660488313235	9.122015651608006	5.309610878749595
2021-08-26_09.00.00	0.04860184	17.06864	0.9929108205941305			281.311597439333	8.914562146739598	5.292772605528114
2021-08-26_10.00.00	0.04854179	17.04185	0.9910216292218864			283.18293136817033	9.040665233718636	5.101692891374171
2021-08-26_11.00.00	0.05061045	17.56821	1.0460325485386066			282.5286586273634	10.251409489615341	4.738225560254648
2021-08-26_12.00.00	0.05154004	17.79837	1.0713701498788404			280.07793657882985	11.102260083599639	4.521669610335778
2021-08-26_13.00.00	0.05039474	17.50033	1.040151075477907			279.467619472979	10.560016565019904	4.434890586240215
2021-08-26_14.00.00	0.0487946	17.07437	1.0018879947347952			281.773075777877	9.197563198671247	4.583826298284805
