date	tau	Tb	pwv	lwp	iwp	o3
2021-04-06_00.00.00	2.4227e-01	6.2808e+01	4.9555e+00		7.3329e-03	3.0228e+02
2021-04-06_01.00.00	2.5475e-01	6.5201e+01	5.2785e+00		7.8555e-03	2.9947e+02
2021-04-06_02.00.00	3.0187e-01	7.5123e+01	6.2350e+00		6.7504e-03	2.9788e+02
2021-04-06_03.00.00	3.5357e-01	8.5440e+01	7.2587e+00		1.0020e-02	2.9846e+02
2021-04-06_04.00.00	3.7784e-01	8.9869e+01	7.8024e+00		4.4052e-03	2.9595e+02
2021-04-06_05.00.00	3.7350e-01	8.9147e+01	7.6973e+00		3.2940e-03	2.9633e+02
2021-04-06_06.00.00	3.6242e-01	8.6908e+01	7.4800e+00		8.8184e-03	2.9769e+02
2021-04-06_07.00.00	3.2611e-01	7.9692e+01	6.7650e+00		1.0645e-02	2.9870e+02
2021-04-06_08.00.00	2.9240e-01	7.2475e+01	6.1312e+00		1.0883e-03	3.0117e+02
2021-04-06_09.00.00	2.5285e-01	6.3834e+01	5.3627e+00		4.9580e-03	2.9983e+02
2021-04-06_10.00.00	2.4010e-01	6.0776e+01	5.1408e+00		1.8403e-02	2.9840e+02
2021-04-06_11.00.00	2.3145e-01	5.8819e+01	4.9732e+00		1.6078e-02	2.9711e+02
2021-04-06_12.00.00	2.2949e-01	5.8509e+01	4.9229e+00		1.0280e-03	2.9826e+02
2021-04-06_13.00.00	2.4034e-01	6.0822e+01	5.1648e+00		9.4733e-04	2.9831e+02
2021-04-06_14.00.00	2.7081e-01	6.6962e+01	5.8237e+00		1.2170e-03	2.9767e+02
2021-04-06_15.00.00	3.1501e-01	7.5816e+01	6.7237e+00		4.0321e-03	2.9527e+02
2021-04-06_16.00.00	3.0885e-01	7.4856e+01	6.5704e+00		1.4448e-03	2.9302e+02
2021-04-06_17.00.00	2.1816e-01	5.6224e+01	4.6552e+00		1.3845e-03	2.9314e+02
2021-04-06_18.00.00	2.4248e-01	6.1426e+01	5.1441e+00		3.7015e-03	2.9279e+02
2021-04-06_19.00.00	3.0347e-01	7.3901e+01	6.4255e+00		3.2691e-02	2.9354e+02
2021-04-06_20.00.00	2.7458e-01	6.8186e+01	5.8449e+00		5.8197e-02	2.9351e+02
2021-04-06_21.00.00	3.1647e-01	7.6661e+01	6.6866e+00		1.1088e-01	2.9189e+02
2021-04-06_22.00.00	3.7155e-01	8.7349e+01	7.8392e+00		1.1485e-01	2.9097e+02
2021-04-06_23.00.00	4.0495e-01	9.3430e+01	8.5498e+00		8.8704e-02	2.9114e+02
2021-04-07_00.00.00	3.8199e-01	8.9500e+01	8.0339e+00		5.2017e-02	2.9079e+02
2021-04-07_01.00.00	3.6832e-01	8.7068e+01	7.7346e+00		2.5266e-02	2.9083e+02
2021-04-07_02.00.00	3.5855e-01	8.5301e+01	7.5169e+00		1.1956e-02	2.8961e+02
2021-04-07_03.00.00	3.3101e-01	8.0082e+01	6.9357e+00		6.1206e-03	2.9078e+02
2021-04-07_04.00.00	3.0926e-01	7.5960e+01	6.4501e+00		3.1839e-03	2.9257e+02
2021-04-07_05.00.00	3.2016e-01	7.8124e+01	6.6635e+00		1.8538e-03	2.9415e+02
2021-04-07_06.00.00	3.2697e-01	7.9569e+01	6.7594e+00		1.7476e-03	2.9511e+02
2021-04-07_07.00.00	3.2209e-01	7.8614e+01	6.6582e+00		2.5625e-03	2.9518e+02
2021-04-07_08.00.00	3.1417e-01	7.6872e+01	6.5401e+00		3.1852e-03	2.9386e+02
2021-04-07_09.00.00	3.3441e-01	8.0808e+01	6.9545e+00		6.6579e-03	2.9195e+02
2021-04-07_10.00.00	3.4551e-01	8.2911e+01	7.1794e+00		6.3334e-03	2.9124e+02
2021-04-07_11.00.00	3.5074e-01	8.3841e+01	7.3132e+00		5.8442e-03	2.9140e+02
2021-04-07_12.00.00	3.7276e-01	8.7979e+01	7.7544e+00		4.7020e-04	2.9169e+02
2021-04-07_13.00.00	3.9585e-01	9.2298e+01	8.2032e+00		1.4866e-03	2.9249e+02
2021-04-07_14.00.00	4.1223e-01	9.5419e+01	8.4673e+00		2.0780e-05	2.9158e+02
2021-04-07_15.00.00	3.9632e-01	9.2623e+01	8.1390e+00		3.5900e-06	2.9125e+02
2021-04-07_16.00.00	3.7101e-01	8.7953e+01	7.6260e+00		8.8880e-05	2.9108e+02
2021-04-07_17.00.00	3.5186e-01	8.4473e+01	7.1877e+00			2.9089e+02
2021-04-07_18.00.00	3.4420e-01	8.3136e+01	6.9853e+00		2.6980e-05	2.9205e+02
2021-04-07_19.00.00	3.5618e-01	8.5472e+01	7.2338e+00		1.1661e-04	2.9276e+02
2021-04-07_20.00.00	3.4995e-01	8.4503e+01	7.0725e+00		7.5280e-06	2.9194e+02
2021-04-07_21.00.00	3.4292e-01	8.3319e+01	6.8957e+00		9.6357e-04	2.9107e+02
2021-04-07_22.00.00	3.4503e-01	8.3758e+01	6.9672e+00		1.5844e-04	2.9150e+02
2021-04-07_23.00.00	3.5544e-01	8.5679e+01	7.2315e+00		8.6600e-04	2.9273e+02
2021-04-08_00.00.00	3.6887e-01	8.8317e+01	7.4881e+00			2.9389e+02
2021-04-08_01.00.00	3.8459e-01	9.1155e+01	7.8385e+00			2.9494e+02
2021-04-08_02.00.00	3.8052e-01	9.0390e+01	7.7478e+00			2.9795e+02
2021-04-08_03.00.00	3.8326e-01	9.0845e+01	7.8083e+00			2.9944e+02
2021-04-08_04.00.00	3.8831e-01	9.1847e+01	7.8790e+00			3.0017e+02
2021-04-08_05.00.00	3.8972e-01	9.2275e+01	7.8665e+00		4.4320e-04	2.9954e+02
2021-04-08_06.00.00	3.8206e-01	9.0795e+01	7.7132e+00		1.8778e-03	3.0083e+02
2021-04-08_07.00.00	3.6517e-01	8.7654e+01	7.3735e+00		1.7980e-03	2.9631e+02
2021-04-08_08.00.00	3.7617e-01	8.9637e+01	7.5985e+00		5.9840e-04	2.9208e+02
2021-04-08_09.00.00	3.9361e-01	9.2947e+01	7.8864e+00			2.9102e+02
2021-04-08_10.00.00	4.0532e-01	9.5144e+01	8.0918e+00			2.9010e+02
2021-04-08_11.00.00	4.0283e-01	9.4743e+01	8.0106e+00			2.9083e+02
2021-04-08_12.00.00	3.8393e-01	9.1357e+01	7.5885e+00			2.9344e+02
2021-04-08_13.00.00	3.9297e-01	9.3012e+01	7.7602e+00			2.9223e+02
2021-04-08_14.00.00	3.9897e-01	9.4132e+01	7.8536e+00		1.7616e-03	2.9030e+02
2021-04-08_15.00.00	3.7379e-01	8.9344e+01	7.4132e+00		3.4683e-04	2.8936e+02
2021-04-08_16.00.00	3.0880e-01	7.7028e+01	6.0518e+00			2.8874e+02
2021-04-08_17.00.00	2.7576e-01	7.0347e+01	5.3963e+00			2.8860e+02
2021-04-08_18.00.00	2.7947e-01	7.1352e+01	5.3926e+00			2.8768e+02
2021-04-08_19.00.00	2.8191e-01	7.2181e+01	5.3426e+00			2.8873e+02
2021-04-08_20.00.00	2.9622e-01	7.5216e+01	5.5936e+00			2.8860e+02
2021-04-08_21.00.00	2.8696e-01	7.3152e+01	5.5083e+00			2.8764e+02
2021-04-08_22.00.00	2.8331e-01	7.2213e+01	5.5119e+00			2.8801e+02
2021-04-08_23.00.00	2.9534e-01	7.4670e+01	5.7682e+00			2.8780e+02
2021-04-09_00.00.00	2.9216e-01	7.4039e+01	5.6912e+00			2.8639e+02
2021-04-09_01.00.00	2.8285e-01	7.2145e+01	5.4917e+00			2.8680e+02
2021-04-09_02.00.00	2.5888e-01	6.7095e+01	5.0354e+00			2.8609e+02
2021-04-09_03.00.00	2.5710e-01	6.6758e+01	4.9674e+00		5.0620e-05	2.8955e+02
2021-04-09_04.00.00	2.6375e-01	6.8164e+01	5.0931e+00		2.2256e-03	2.9299e+02
2021-04-09_05.00.00	2.8102e-01	7.1801e+01	5.4069e+00		1.2512e-03	2.9367e+02
2021-04-09_06.00.00	2.8240e-01	7.2165e+01	5.3895e+00		5.3844e-06	2.9314e+02
2021-04-09_07.00.00	2.8909e-01	7.3601e+01	5.4727e+00			2.9457e+02
2021-04-09_08.00.00	2.8980e-01	7.3845e+01	5.4484e+00			2.9375e+02
2021-04-09_09.00.00	3.0378e-01	7.6668e+01	5.7099e+00			2.9279e+02
2021-04-09_10.00.00	2.9422e-01	7.4654e+01	5.5383e+00			2.9112e+02
2021-04-09_11.00.00	2.8630e-01	7.2907e+01	5.4158e+00		1.1118e-05	2.9184e+02
