date	tau	Tb	pwv	lwp	iwp	o3
2021-04-06_18.00.00	1.9701e-01	5.1590e+01	4.0005e+00	4.2351e-03	1.9325e-02	2.8197e+02
2021-04-06_19.00.00	5.0665e-01	1.0895e+02	5.1617e+00	1.1505e-01	8.9065e-02	2.8149e+02
2021-04-06_20.00.00	3.2756e-01	7.7659e+01	5.5196e+00	3.0957e-02	9.4277e-02	2.7989e+02
2021-04-06_21.00.00	3.1640e-01	7.5647e+01	5.5312e+00	2.5327e-02	7.5542e-02	2.7829e+02
2021-04-06_22.00.00	2.6223e-01	6.5267e+01	5.1621e+00	7.8306e-03	5.7202e-02	2.7611e+02
2021-04-06_23.00.00	2.4824e-01	6.2553e+01	4.4756e+00	1.5975e-02	3.7610e-02	2.7536e+02
2021-04-07_00.00.00	4.2692e-01	9.5572e+01	6.2391e+00	6.0065e-02	2.9769e-02	2.7887e+02
2021-04-07_01.00.00	8.5435e-01	1.5432e+02	7.1616e+00	2.3659e-01	2.2278e-01	2.8019e+02
2021-04-07_02.00.00	3.3337e-01	7.8396e+01	6.7231e+00	1.0293e-02	1.4197e-01	2.8066e+02
2021-04-07_03.00.00	4.4776e-01	9.8655e+01	7.2648e+00	4.8080e-02	1.6047e-01	2.7760e+02
2021-04-07_04.00.00	2.8268e-01	6.8611e+01	6.1350e+00	2.7540e-04	8.0553e-02	2.7663e+02
2021-04-07_05.00.00	2.4857e-01	6.1779e+01	5.5167e+00		2.5862e-02	2.7357e+02
2021-04-07_06.00.00	2.4454e-01	6.0765e+01	5.5002e+00	1.6300e-04	3.2935e-02	2.7137e+02
2021-04-07_07.00.00	2.6700e-01	6.5163e+01	5.9825e+00		5.6368e-02	2.6969e+02
2021-04-07_08.00.00	2.6178e-01	6.4125e+01	5.8971e+00		1.0087e-01	2.6809e+02
2021-04-07_09.00.00	2.5787e-01	6.3393e+01	5.8281e+00		3.6224e-02	2.6731e+02
2021-04-07_10.00.00	2.4403e-01	6.0650e+01	5.5788e+00		8.7345e-03	2.6996e+02
2021-04-07_11.00.00	2.3840e-01	5.9587e+01	5.4591e+00		1.5118e-02	2.7182e+02
2021-04-07_12.00.00	2.3485e-01	5.8939e+01	5.3662e+00		4.9670e-03	2.7151e+02
2021-04-07_13.00.00	2.3084e-01	5.8219e+01	5.2273e+00		1.0959e-03	2.7267e+02
2021-04-07_14.00.00	2.2852e-01	5.7760e+01	5.1541e+00		3.4118e-04	2.7400e+02
2021-04-07_15.00.00	2.2444e-01	5.6900e+01	5.0644e+00		2.9396e-04	2.7322e+02
2021-04-07_16.00.00	2.2525e-01	5.7095e+01	5.0571e+00		3.5924e-05	2.7430e+02
2021-04-07_17.00.00	2.3242e-01	5.8647e+01	5.1986e+00		3.6486e-05	2.7623e+02
2021-04-07_18.00.00	3.8466e-01	8.8118e+01	6.0903e+00	4.6040e-02	1.0160e-02	2.7765e+02
2021-04-07_19.00.00	8.4951e-01	1.5491e+02	7.0251e+00	2.2494e-01	2.8698e-01	2.7815e+02
2021-04-07_20.00.00	8.8787e-01	1.5834e+02	8.0993e+00	2.2149e-01	9.6134e-01	2.7684e+02
2021-04-07_21.00.00	5.6983e-01	1.1725e+02	7.8089e+00	8.5623e-02	1.4593e+00	2.7257e+02
2021-04-07_22.00.00	3.4605e-01	8.0638e+01	7.0335e+00	6.1058e-03	7.3350e-01	2.7172e+02
2021-04-07_23.00.00	3.3461e-01	7.8650e+01	6.5790e+00	1.1969e-02	5.2140e-01	2.7047e+02
2021-04-08_00.00.00	2.8499e-01	6.9511e+01	5.9942e+00	5.9047e-03	1.6577e-01	2.7172e+02
2021-04-08_01.00.00	3.1030e-01	7.4818e+01	5.5018e+00	2.2882e-02	4.9866e-02	2.7387e+02
2021-04-08_02.00.00	2.4971e-01	6.2853e+01	5.1303e+00	2.6221e-03	2.6813e-02	2.7315e+02
2021-04-08_03.00.00	2.1228e-01	5.5108e+01	4.4621e+00		2.6758e-03	2.7412e+02
2021-04-08_04.00.00	1.7014e-01	4.6063e+01	3.5911e+00		4.8354e-06	2.7294e+02
2021-04-08_05.00.00	1.3031e-01	3.7064e+01	2.7476e+00			2.7298e+02
2021-04-08_06.00.00	9.8998e-02	2.9603e+01	2.0903e+00			2.7350e+02
2021-04-08_07.00.00	9.2986e-02	2.8116e+01	1.9620e+00			2.7249e+02
2021-04-08_08.00.00	9.4573e-02	2.8479e+01	1.9956e+00			2.7064e+02
2021-04-08_09.00.00	9.6339e-02	2.8921e+01	2.0262e+00			2.6988e+02
2021-04-08_10.00.00	9.3794e-02	2.8316e+01	1.9649e+00			2.7117e+02
2021-04-08_11.00.00	8.4843e-02	2.6121e+01	1.7682e+00			2.7103e+02
2021-04-08_12.00.00	7.0709e-02	2.2609e+01	1.4581e+00			2.6828e+02
2021-04-08_13.00.00	7.6797e-02	2.4123e+01	1.6069e+00			2.6701e+02
2021-04-08_14.00.00	1.0208e-01	3.0306e+01	2.1799e+00			2.6717e+02
2021-04-08_15.00.00	1.1828e-01	3.4141e+01	2.5383e+00			2.6766e+02
2021-04-08_16.00.00	1.1494e-01	3.3312e+01	2.4856e+00			2.6707e+02
2021-04-08_17.00.00	1.3119e-01	3.7129e+01	2.8276e+00			2.6857e+02
2021-04-08_18.00.00	1.6485e-01	4.4769e+01	3.5487e+00			2.6914e+02
2021-04-08_19.00.00	1.9974e-01	5.2404e+01	4.3022e+00	2.8380e-05	1.2395e-03	2.6929e+02
2021-04-08_20.00.00	2.8361e-01	6.9526e+01	5.4704e+00	1.2975e-02	6.1812e-02	2.7011e+02
2021-04-08_21.00.00	3.1177e-01	7.5062e+01	6.1689e+00	9.1354e-03	1.1443e-01	2.7180e+02
2021-04-08_22.00.00	3.0070e-01	7.3000e+01	5.9546e+00	9.1753e-03	5.6123e-02	2.7230e+02
2021-04-08_23.00.00	2.9611e-01	7.2256e+01	5.8243e+00	9.1940e-03	2.6251e-02	2.7339e+02
2021-04-09_00.00.00	2.3034e-01	5.9043e+01	4.9870e+00		1.6642e-03	2.7326e+02
2021-04-09_01.00.00	2.5699e-01	6.4442e+01	5.4987e+00	6.8517e-04	2.5970e-03	2.7470e+02
2021-04-09_02.00.00	2.7567e-01	6.8183e+01	5.7739e+00	2.4952e-03	9.5381e-03	2.7552e+02
