date	tau	Tb	pwv	lwp	iwp	o3
2021-04-07_18.00.00	7.7085e-02	2.3373e+01	1.1797e+00			3.7083e+02
2021-04-07_19.00.00	8.2969e-02	2.4747e+01	1.3092e+00			3.7615e+02
2021-04-07_20.00.00	8.9174e-02	2.6195e+01	1.4365e+00			3.8012e+02
2021-04-07_21.00.00	9.4530e-02	2.7430e+01	1.5482e+00			3.8577e+02
2021-04-07_22.00.00	9.9437e-02	2.8567e+01	1.6476e+00			3.8672e+02
2021-04-07_23.00.00	1.0501e-01	2.9859e+01	1.7601e+00			3.8954e+02
2021-04-08_00.00.00	1.1078e-01	3.1194e+01	1.8720e+00			3.8806e+02
2021-04-08_01.00.00	1.1603e-01	3.2413e+01	1.9710e+00			3.8351e+02
2021-04-08_02.00.00	1.2128e-01	3.3638e+01	2.0691e+00			3.8224e+02
2021-04-08_03.00.00	1.2596e-01	3.4733e+01	2.1522e+00			3.8400e+02
2021-04-08_04.00.00	1.2897e-01	3.5482e+01	2.1996e+00		1.6266e-06	3.8421e+02
2021-04-08_05.00.00	1.3116e-01	3.6050e+01	2.2301e+00			3.7998e+02
2021-04-08_06.00.00	1.3406e-01	3.6780e+01	2.2737e+00			3.7955e+02
2021-04-08_07.00.00	1.3684e-01	3.7483e+01	2.3161e+00			3.7895e+02
2021-04-08_08.00.00	1.3866e-01	3.7963e+01	2.3416e+00			3.7411e+02
2021-04-08_09.00.00	1.3518e-01	3.7251e+01	2.2690e+00			3.6848e+02
2021-04-08_10.00.00	1.3044e-01	3.6218e+01	2.1745e+00			3.6207e+02
2021-04-08_11.00.00	1.2761e-01	3.5596e+01	2.1186e+00			3.5670e+02
2021-04-08_12.00.00	1.2392e-01	3.4779e+01	2.0476e+00			3.5658e+02
2021-04-08_13.00.00	1.2137e-01	3.4224e+01	1.9994e+00			3.6072e+02
2021-04-08_14.00.00	1.2112e-01	3.4186e+01	1.9988e+00			3.5783e+02
2021-04-08_15.00.00	1.2048e-01	3.4071e+01	1.9923e+00			3.5932e+02
2021-04-08_16.00.00	1.1997e-01	3.3959e+01	1.9926e+00			3.5991e+02
2021-04-08_17.00.00	1.1862e-01	3.3641e+01	1.9865e+00		4.7320e-06	3.5840e+02
