date	tau	Tb	pwv	lwp	iwp	o3
2021-04-06_06.00.00	8.5261e-02	2.6214e+01	1.4086e+00		5.8797e-04	3.3758e+02
2021-04-06_07.00.00	8.5002e-02	2.6067e+01	1.4299e+00		1.3340e-03	3.3698e+02
2021-04-06_08.00.00	9.2968e-02	2.7912e+01	1.6145e+00		4.1725e-03	3.3939e+02
2021-04-06_09.00.00	9.5799e-02	2.8516e+01	1.7085e+00		1.6474e-03	3.4081e+02
2021-04-06_10.00.00	1.0746e-01	3.1267e+01	1.9589e+00		3.1099e-04	3.3711e+02
2021-04-06_11.00.00	1.2625e-01	3.5655e+01	2.3466e+00		2.7760e-04	3.3432e+02
2021-04-06_12.00.00	1.4524e-01	4.0075e+01	2.7188e+00	1.0895e-05	1.4304e-04	3.3368e+02
2021-04-06_13.00.00	1.6214e-01	4.3905e+01	3.0443e+00	1.5514e-04	2.8645e-04	3.3251e+02
2021-04-06_14.00.00	1.8351e-01	4.8686e+01	3.3905e+00	1.6546e-03	2.5869e-04	3.3044e+02
2021-04-06_15.00.00	2.1907e-01	5.6432e+01	3.6909e+00	9.9892e-03	7.9133e-04	3.2700e+02
2021-04-06_16.00.00	2.1377e-01	5.5294e+01	3.6341e+00	8.9485e-03	2.0248e-03	3.2667e+02
2021-04-06_17.00.00	1.9816e-01	5.1873e+01	3.6355e+00	1.9326e-03	5.3482e-03	3.2650e+02
2021-04-06_18.00.00	1.6275e-01	4.4063e+01	3.0349e+00	2.8291e-04	1.0190e-02	3.2811e+02
2021-04-06_19.00.00	1.2898e-01	3.6294e+01	2.4091e+00		3.1538e-02	3.3014e+02
2021-04-06_20.00.00	1.1569e-01	3.2936e+01	2.2004e+00		6.1051e-02	3.3141e+02
2021-04-06_21.00.00	1.1544e-01	3.2742e+01	2.2211e+00		7.1749e-02	3.3420e+02
2021-04-06_22.00.00	1.1623e-01	3.2972e+01	2.2251e+00		6.3361e-02	3.3609e+02
2021-04-06_23.00.00	1.1654e-01	3.3019e+01	2.2579e+00		1.9468e-02	3.3611e+02
2021-04-07_00.00.00	1.2457e-01	3.4792e+01	2.4566e+00		3.5477e-03	3.3877e+02
2021-04-07_01.00.00	1.3158e-01	3.6345e+01	2.6082e+00		2.7202e-03	3.3933e+02
2021-04-07_02.00.00	1.2310e-01	3.4550e+01	2.3931e+00		9.7580e-04	3.4037e+02
2021-04-07_03.00.00	1.0591e-01	3.0683e+01	1.9917e+00		4.3660e-05	3.3941e+02
2021-04-07_04.00.00	1.1062e-01	3.1780e+01	2.0839e+00		9.7100e-04	3.4019e+02
2021-04-07_05.00.00	1.1123e-01	3.1886e+01	2.0994e+00		1.0556e-03	3.4281e+02
2021-04-07_06.00.00	1.1176e-01	3.1991e+01	2.1091e+00		2.3202e-03	3.4126e+02
2021-04-07_07.00.00	1.1696e-01	3.3233e+01	2.2049e+00		2.6241e-04	3.3850e+02
2021-04-07_08.00.00	1.1965e-01	3.3854e+01	2.2586e+00		1.7563e-03	3.3473e+02
2021-04-07_09.00.00	1.2240e-01	3.4463e+01	2.3266e+00		1.5260e-03	3.3124e+02
2021-04-07_10.00.00	1.3540e-01	3.7443e+01	2.5911e+00	5.7820e-05	4.4332e-04	3.2935e+02
2021-04-07_11.00.00	1.4934e-01	4.0667e+01	2.8485e+00	2.1881e-04	1.8877e-03	3.2675e+02
2021-04-07_12.00.00	1.6567e-01	4.4386e+01	3.1355e+00	6.5977e-04	7.6776e-03	3.2395e+02
2021-04-07_13.00.00	1.8768e-01	4.9145e+01	3.5396e+00	1.8345e-03	2.3307e-02	3.2436e+02
2021-04-07_14.00.00	2.0661e-01	5.3151e+01	4.0218e+00	1.8349e-04	3.2886e-03	3.2925e+02
2021-04-07_15.00.00	2.4827e-01	6.1903e+01	4.7934e+00	3.2608e-04	8.6397e-03	3.3307e+02
2021-04-07_16.00.00	2.8649e-01	6.9668e+01	5.4788e+00	5.7611e-06	9.1614e-03	3.3589e+02
2021-04-07_17.00.00	3.0251e-01	7.2961e+01	5.7071e+00	1.5048e-04	1.3237e-02	3.3538e+02
2021-04-07_18.00.00	2.9498e-01	7.1675e+01	5.5103e+00	6.2930e-06	2.7507e-03	3.3499e+02
2021-04-07_19.00.00	2.9062e-01	7.0972e+01	5.3492e+00		1.2152e-03	3.3452e+02
2021-04-07_20.00.00	2.8891e-01	7.0658e+01	5.3139e+00		1.2492e-04	3.3385e+02
2021-04-07_21.00.00	2.9250e-01	7.1339e+01	5.4057e+00		5.0868e-05	3.3185e+02
2021-04-07_22.00.00	3.0570e-01	7.3919e+01	5.6569e+00		1.5556e-05	3.3027e+02
2021-04-07_23.00.00	3.1597e-01	7.5890e+01	5.8344e+00	2.6700e-05	2.4280e-05	3.3196e+02
2021-04-08_00.00.00	3.2609e-01	7.7758e+01	6.0077e+00	1.7728e-04	4.0240e-05	3.3176e+02
2021-04-08_01.00.00	3.3009e-01	7.8526e+01	6.0171e+00	7.0020e-04	2.3990e-04	3.3099e+02
2021-04-08_02.00.00	3.2642e-01	7.7921e+01	5.8385e+00	2.3380e-03	3.2827e-04	3.3066e+02
2021-04-08_03.00.00	3.3489e-01	7.9614e+01	5.7019e+00	8.2043e-03	3.4182e-04	3.3011e+02
2021-04-08_04.00.00	3.2874e-01	7.8508e+01	5.4673e+00	1.0396e-02	3.5511e-04	3.2802e+02
2021-04-08_05.00.00	3.0354e-01	7.3698e+01	5.2979e+00	3.3760e-03	8.0884e-05	3.2723e+02
2021-04-08_06.00.00	2.8192e-01	6.9479e+01	5.0265e+00	5.0960e-04	1.2886e-05	3.2599e+02
2021-04-08_07.00.00	2.5793e-01	6.4713e+01	4.6211e+00		2.3176e-06	3.2302e+02
2021-04-08_08.00.00	2.4108e-01	6.1225e+01	4.3486e+00		3.6233e-07	3.2077e+02
2021-04-08_09.00.00	2.3169e-01	5.9261e+01	4.1893e+00			3.2033e+02
2021-04-08_10.00.00	2.2002e-01	5.6790e+01	3.9979e+00	4.3620e-08		3.2455e+02
2021-04-08_11.00.00	2.5798e-01	6.4549e+01	4.6997e+00	1.4902e-03	3.0744e-04	3.2851e+02
2021-04-08_12.00.00	3.1394e-01	7.5512e+01	5.6564e+00	3.9728e-03	2.5192e-03	3.3320e+02
2021-04-08_13.00.00	3.4704e-01	8.1777e+01	6.3367e+00	1.8675e-03	4.3720e-03	3.3544e+02
2021-04-08_14.00.00	3.8747e-01	8.9069e+01	7.0830e+00	2.1015e-03	5.4588e-03	3.3670e+02
2021-04-08_15.00.00	4.1178e-01	9.3158e+01	7.5879e+00	2.5181e-03	2.1980e-02	3.3269e+02
2021-04-08_16.00.00	4.2020e-01	9.4436e+01	7.8572e+00	1.3941e-03	5.4635e-02	3.2673e+02
2021-04-08_17.00.00	4.2014e-01	9.4315e+01	7.8934e+00	1.0382e-03	1.1552e-01	3.2568e+02
2021-04-08_18.00.00	3.7855e-01	8.7193e+01	7.1674e+00	9.1110e-07	4.1179e-02	3.2921e+02
2021-04-08_19.00.00	3.7066e-01	8.5678e+01	7.0582e+00		4.7468e-02	3.3384e+02
2021-04-08_20.00.00	3.7210e-01	8.5923e+01	7.1040e+00		3.4498e-02	3.2993e+02
2021-04-08_21.00.00	3.7845e-01	8.7142e+01	7.1816e+00	8.5860e-06	1.9933e-02	3.3084e+02
2021-04-08_22.00.00	3.5156e-01	8.2355e+01	6.6818e+00		9.8762e-04	3.3111e+02
2021-04-08_23.00.00	3.3093e-01	7.8675e+01	6.2544e+00		5.2165e-05	3.3254e+02
2021-04-09_00.00.00	3.0189e-01	7.3321e+01	5.6412e+00			3.3789e+02
2021-04-09_01.00.00	2.9318e-01	7.1666e+01	5.4455e+00			3.3724e+02
2021-04-09_02.00.00	2.7116e-01	6.7335e+01	5.0042e+00			3.3314e+02
2021-04-09_03.00.00	2.3971e-01	6.0880e+01	4.4596e+00			3.2822e+02
2021-04-09_04.00.00	2.3131e-01	5.9105e+01	4.3172e+00		7.6616e-05	3.2689e+02
2021-04-09_05.00.00	2.2118e-01	5.6945e+01	4.1375e+00		2.6017e-03	3.2694e+02
2021-04-09_06.00.00	2.2177e-01	5.6996e+01	4.1743e+00		1.1261e-03	3.2563e+02
2021-04-09_07.00.00	2.4302e-01	6.1366e+01	4.5884e+00	3.7637e-05	2.9769e-03	3.2528e+02
2021-04-09_08.00.00	2.4871e-01	6.2565e+01	4.6982e+00		3.0096e-03	3.2501e+02
2021-04-09_09.00.00	2.7265e-01	6.7320e+01	5.1890e+00		2.5711e-03	3.2698e+02
2021-04-09_10.00.00	2.6901e-01	6.6754e+01	5.0764e+00		3.2526e-03	3.2827e+02
2021-04-09_11.00.00	3.3519e-01	7.9556e+01	6.2308e+00	1.4534e-03	8.8076e-03	3.2777e+02
2021-04-09_12.00.00	3.7601e-01	8.7162e+01	6.9034e+00	2.2288e-03	1.2656e-02	3.2615e+02
2021-04-09_13.00.00	4.0648e-01	9.2425e+01	7.5473e+00	2.5493e-03	6.1819e-02	3.2658e+02
2021-04-09_14.00.00	4.3848e-01	9.7736e+01	8.2527e+00	1.8305e-03	9.0216e-02	3.2658e+02
