date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-08-26_06.00.00	0.1410199	40.36592	2.8154773087623775			293.2671579574215	31.086059735453553	9.772206089714246
2021-08-26_07.00.00	0.1455671	41.41672	2.928902982618841		3.654300415831513e-05	292.84930028286436	30.36370116582375	9.840693173772365
2021-08-26_08.00.00	0.1496425	42.29118	3.04950189966195		0.00012162398659766057	294.66450796486527	28.561266455658036	10.005621077800015
2021-08-26_09.00.00	0.1519048	42.7877	3.110380829868071		8.299201244502946e-05	296.4350528509751	28.475717764043917	10.144909882943296
2021-08-26_10.00.00	0.1605878	44.90139	3.2534268704939118			295.8969033794849	34.37904634802946	10.091471979959863
2021-08-26_11.00.00	0.1771999	48.84564	3.5596673347892422			296.09531785023074	37.814654146839466	10.341646623360191
2021-08-26_12.00.00	0.1984683	53.7593	3.9683638974481705			296.84159595057315	38.24906189790666	10.800281831130064
2021-08-26_13.00.00	0.2036736	54.9905	4.0622580548658265	0.00012444000358991235		297.4927422956677	35.925315505388134	11.31894368972587
2021-08-26_14.00.00	0.1964406	53.39533	3.92211386005325	0.00014947398809345738		297.1191007890427	32.523229423967386	11.78986272459997
2021-08-26_15.00.00	0.1844846	50.67132	3.694256140245909	0.0003676198881143985		297.1183191901146	28.703562935072554	12.2035726818238
2021-08-26_16.00.00	0.1729343	47.98389	3.507356328716307			295.0061783534316	24.948192874418975	12.503378202935153
2021-08-26_17.00.00	0.1609424	45.16264	3.2832590420917223			292.7601980050618	22.35106670979042	12.650457049166562
2021-08-26_18.00.00	0.155668	43.9196	3.185003141173303			291.6890725026053	22.286034015504747	12.693730682649857
2021-08-26_19.00.00	0.1585692	44.56372	3.259113889969186			290.50532231651033	23.196872523004252	12.645666383792502
2021-08-26_20.00.00	0.1580313	44.41565	3.257489454632483			291.20198749441715	23.47249004079777	12.573389185396138
2021-08-26_21.00.00	0.1539054	43.40922	3.185765997546893			292.73109274973945	22.637705492627674	12.568618179417626
2021-08-26_22.00.00	0.1499266	42.44264	3.1065665480001194			293.05698228375763	21.31453581451055	12.564487376903969
2021-08-26_23.00.00	0.1455365	41.4023	3.005277171149071			291.70768200089327	20.314645678759813	12.506597320945275
2021-08-27_00.00.00	0.1457589	41.49713	2.9862814491279503			289.49039749888345	20.666475341799426	12.16476781396932
2021-08-27_01.00.00	0.1460641	41.51097	2.9953331139498007			288.6331695697484	17.51829173330912	12.121176040914293
2021-08-27_02.00.00	0.1591487	44.54369	3.2715110539384327			287.8332588953402	16.914047855361268	11.937859740827037
2021-08-27_03.00.00	0.1908756	51.62347	3.9983157327908576			287.68788149471493	21.232409398243433	11.731860835823682
2021-08-27_04.00.00	0.2024382	54.15134	4.256663774792832		0.000420799952134502	289.06156022033645	18.49616364436661	12.03752949030627
2021-08-27_05.00.00	0.2319428	60.46212	4.929473180363179		0.00211	288.9219145451839	15.610121514621426	12.598323378315058
2021-08-27_06.00.00	0.2717012	68.98701	5.7510425703772405		0.0004771998683698806	287.34948637784726	17.688923757259506	13.173482847255343
2021-08-27_07.00.00	0.308784	76.63071	6.481254674365034		0.000530799952134502	287.18642995384846	22.119986701459233	13.249291570195282
2021-08-27_08.00.00	0.3684888	88.25163	7.640221976246747		0.00016900200436772669	288.4041610838172	28.544730742730692	13.280001551277735
2021-08-27_09.00.00	0.4658242	105.4718	9.562709785502737		1.794599874353068e-05	288.5647238350454	32.83059189534358	13.22228707137748
2021-08-27_10.00.00	0.5551269	119.6071	11.301373141472462	0.0003520399676907889	0.0015390169623358363	287.00007443799313	33.72409574763735	13.405992963138374
2021-08-27_11.00.00	0.5571642	120.4278	11.191117958536513		0.0003971430280910641	287.73049724579425	38.409680459408854	13.420475379225536
2021-08-27_12.00.00	0.5526516	119.9887	11.026131570287491		9.218000418823107e-07	289.45463004317406	43.87852791878633	13.229516197705948
2021-08-27_13.00.00	0.5261211	115.9456	10.459344242678075		6.614090405959254e-05	289.7973053446479	44.98841850854526	13.295069001846684
2021-08-27_14.00.00	0.5700302	122.5995	11.30452628114997	0.00045136985071947823	0.0006784458671134113	288.93814202769096	43.25597182649177	13.572987763633591
2021-08-27_15.00.00	0.6522317	134.558	12.567861309719687	0.005269961408442277	0.06572241002782182	290.51656245347624	43.751079297346855	13.704235189483484
2021-08-27_16.00.00	0.6426606	133.3288	12.608065336404703	0.0003236000837646214	0.000917180123851976	291.18348965311895	46.860678332925715	13.515694247130455
2021-08-27_17.00.00	0.6021136	127.2339	12.040377539115086		0.0035983994974122715	291.84025606669644	43.631137525996344	13.686368618871995
2021-08-27_18.00.00	0.5717867	122.991	11.301687258802763	0.00012206001136805576	0.00526623089119574	292.5665847848742	44.41978703443258	13.52391380979401
2021-08-27_19.00.00	0.5150202	114.3174	10.13543542645167		7.710000897478087e-06	292.0579871966652	43.18003618244992	13.336147119818804
2021-08-27_20.00.00	0.4799969	108.5298	9.518595745953869			291.53587911269915	38.81768228671548	13.582150762292144
2021-08-27_21.00.00	0.4548934	104.1795	9.090651269931492			290.90594759565283	35.35025051104815	13.730944595530445
2021-08-27_22.00.00	0.4461773	102.5721	8.950946839381338			291.81048086943576	33.74002738403481	13.63240147478615
2021-08-27_23.00.00	0.440991	101.6475	8.841660932778892			292.2306461217806	35.20962941321624	13.307189076101679
2021-08-28_00.00.00	0.4293301	99.72878	8.559610494510427			294.8085827006104	37.16841469183742	12.950978098040082
2021-08-28_01.00.00	0.4175558	97.69781	8.287516079815717			293.5626395712372	38.44241948539716	12.638240983644494
2021-08-28_02.00.00	0.4114589	96.57292	8.143031082657732			294.0850826261724	39.754444584491125	12.310005173075183
2021-08-28_03.00.00	0.4074477	95.76357	8.080440960899871			295.91822986452286	41.132380437269546	12.09274055687365
2021-08-28_04.00.00	0.3871891	92.04385	7.727573518413259			295.54064314426086	39.97279822557341	12.073924690233412
2021-08-28_05.00.00	0.3355592	82.32735	6.747318036317946			295.264217656692	37.46815668768393	12.003507615304613
2021-08-28_06.00.00	0.3093504	76.92975	6.3136326921351005			295.5870552329909	30.74371267460937	12.1334992655282
2021-08-28_07.00.00	0.3083605	76.51312	6.3467406587489155			295.5944618133095	24.815944757676682	12.259690303984144
2021-08-28_08.00.00	0.2902139	72.80254	5.992859066024471			294.65743635551587	21.777632180185723	12.269909519198109
2021-08-28_09.00.00	0.2668817	68.07853	5.506004128399198			293.7142697632872	21.08689606379145	12.328047500567948
2021-08-28_10.00.00	0.2473916	64.08283	5.090166631764741			293.549315170463	20.251083884045762	12.487668605079989
2021-08-28_11.00.00	0.2584296	66.35775	5.337460735333712			292.9484144707459	20.70183380072011	12.58418890838658
2021-08-28_12.00.00	0.2661809	67.95986	5.50949232656236			292.3748325145154	20.987016000485184	12.755224677904437
2021-08-28_13.00.00	0.2635384	67.42078	5.46165674454782			291.7214902486229	19.90110627421902	13.002831158620324
2021-08-28_14.00.00	0.2680285	68.35313	5.571406348161665			291.38383951168674	20.118558768230233	13.0735310798338
2021-08-28_15.00.00	0.2812231	71.10685	5.848188590061926			291.23086943576	21.814118322704505	13.02165685172156
2021-08-28_16.00.00	0.292867	73.62892	6.050028420139408			291.3069078457645	24.856042405638618	12.849695352889569
2021-08-28_17.00.00	0.2945225	74.10712	6.054052113560894			291.10041685276167	27.86927685557883	12.664859189104448
2021-08-28_18.00.00	0.2962458	74.40765	6.133772100397881			290.8796709840703	28.605786303590637	12.648183466931584
2021-08-28_19.00.00	0.2999738	75.03288	6.276982678672928			291.47737085008185	28.501448364290447	12.622607841680349
2021-08-28_20.00.00	0.298559	74.59364	6.318526939300565			291.7826782789936	27.818575179124693	12.524497989117208
2021-08-28_21.00.00	0.3020526	75.07828	6.449489933287461			291.4365043918416	27.106550475667646	12.35402368272372
2021-08-28_22.00.00	0.302242	75.04322	6.46423848984354		8.585999341849403e-06	291.5848593121929	27.47951264721475	12.123891035536985
2021-08-28_23.00.00	0.3089628	76.46524	6.5501959493822355			290.10856781301175	30.98084342708584	11.619434023653241
2021-08-29_00.00.00	0.3076266	76.20769	6.492679570407155			290.2290457049278	33.67209763231627	11.158387365151896
2021-08-29_01.00.00	0.2864839	71.88238	6.0862865348371065			290.23794104510944	32.29941493309307	11.118176642046706
2021-08-29_02.00.00	0.2591369	66.15862	5.544891853890568			290.5400848593122	28.843351761579783	11.250197345396543
2021-08-29_03.00.00	0.2462981	63.45676	5.264438926616208			290.9919606967396	26.930620792039594	11.206685370103742
2021-08-29_04.00.00	0.2393273	62.03942	5.081841026714931			293.2476924222123	26.095182229591224	11.055243420551903
2021-08-29_05.00.00	0.2325154	60.66652	4.892338528734257			293.71974095578383	25.185842453373336	10.98012120655801
2021-08-29_06.00.00	0.2199196	58.05348	4.59120770634517			293.49363555158556	24.290370113529796	10.961615503034125
2021-08-29_07.00.00	0.2070952	55.32271	4.288326801687259			292.91949531040643	24.21986829593124	10.848036003296443
2021-08-29_08.00.00	0.2008448	53.93673	4.147736859425016			293.62494417150515	24.471671023518827	10.765220916437443
2021-08-29_09.00.00	0.2060181	55.07134	4.257956143237502			293.9032306089028	26.08084969219589	10.676172881390642
2021-08-29_10.00.00	0.2287251	60.06836	4.7138780028120975			294.7395042429656	29.77737478222288	10.633283330624579
2021-08-29_11.00.00	0.2629166	67.41159	5.374607353337122			295.09911418788147	35.404516943097995	10.625884014427982
2021-08-29_12.00.00	0.2881567	72.73514	5.817785024082328			295.78971266934644	41.68581518654252	10.709399338837443
2021-08-29_13.00.00	0.3009259	75.45753	5.999386723307506			296.56383057912757	45.43758821857505	10.934712127555201
2021-08-29_14.00.00	0.3055483	76.45711	6.0686451072486305			297.9800878368319	44.97737849934964	11.305761041291134
2021-08-29_15.00.00	0.3055559	76.37829	6.13489095641248			297.73470299240734	41.19912358339864	11.734937036326414
2021-08-29_16.00.00	0.2986955	74.85262	6.070078080593532			297.35663242518984	38.39546974539273	11.90970947670553
2021-08-29_17.00.00	0.2762318	70.10224	5.696472911119753			296.82097662647016	35.790157744308175	11.965648597150562
2021-08-29_18.00.00	0.2673694	68.07147	5.578550273730816			296.1431814798273	35.708358989646335	11.70958601046965
2021-08-29_19.00.00	0.25623	65.5858	5.411586442097705			296.60406431442607	34.452610807490316	11.55141649267091
2021-08-29_20.00.00	0.2334078	60.63033	4.984533460974661			296.6103543248474	29.341367666549147	11.735217081778615
2021-08-29_21.00.00	0.2179045	57.30811	4.646866305681036			296.2208203066845	25.87840603139259	11.942813585126999
2021-08-29_22.00.00	0.2041832	54.45832	4.29173721841625			294.1246836385291	25.61077627619947	11.675575168172998
2021-08-29_23.00.00	0.1956382	52.76546	4.033359260478056			292.89991811820755	27.777397520796235	11.144394843606108
2021-08-30_00.00.00	0.1911346	51.79446	3.922230532204505			293.5358418937025	27.171418375452546	10.930348175723168
2021-08-30_01.00.00	0.1956148	52.70454	4.03898345648727			292.2441566175376	25.151923183290773	10.872714508471063
