date	tau	Tb	pwv	lwp	iwp	o3
2021-04-05_06.00.00	1.7942e-01	4.7644e+01	3.7403e+00			3.0165e+02
2021-04-05_07.00.00	1.7317e-01	4.6417e+01	3.5608e+00			3.0302e+02
2021-04-05_08.00.00	1.7076e-01	4.5910e+01	3.4972e+00			3.0284e+02
2021-04-05_09.00.00	1.7415e-01	4.6659e+01	3.5541e+00			3.0488e+02
2021-04-05_10.00.00	1.6942e-01	4.5634e+01	3.4440e+00			3.0503e+02
2021-04-05_11.00.00	1.6487e-01	4.4597e+01	3.3451e+00			3.0564e+02
2021-04-05_12.00.00	1.5556e-01	4.2551e+01	3.1504e+00			3.0513e+02
2021-04-05_13.00.00	1.5206e-01	4.1739e+01	3.0824e+00			3.0268e+02
2021-04-05_14.00.00	1.3554e-01	3.8033e+01	2.7331e+00			3.0154e+02
2021-04-05_15.00.00	1.2561e-01	3.5766e+01	2.5242e+00			3.0141e+02
2021-04-05_16.00.00	1.2132e-01	3.4788e+01	2.4319e+00			3.0027e+02
2021-04-05_17.00.00	1.1584e-01	3.3549e+01	2.3054e+00			3.0022e+02
2021-04-05_18.00.00	1.0004e-01	2.9818e+01	1.9681e+00			3.0077e+02
2021-04-05_19.00.00	9.0061e-02	2.7408e+01	1.7498e+00			3.0088e+02
2021-04-05_20.00.00	7.1188e-02	2.2718e+01	1.3617e+00			3.0263e+02
2021-04-05_21.00.00	6.0359e-02	1.9951e+01	1.1351e+00			3.0269e+02
2021-04-05_22.00.00	5.3912e-02	1.8287e+01	9.9745e-01			3.0260e+02
2021-04-05_23.00.00	4.9291e-02	1.7064e+01	9.0547e-01			3.0011e+02
2021-04-06_00.00.00	5.0156e-02	1.7218e+01	9.4561e-01		5.8740e-06	2.9945e+02
2021-04-06_01.00.00	5.0069e-02	1.7125e+01	9.6604e-01			2.9629e+02
2021-04-06_02.00.00	4.9532e-02	1.6969e+01	9.6234e-01			2.9513e+02
2021-04-06_03.00.00	4.8016e-02	1.6587e+01	9.2848e-01			2.9425e+02
2021-04-06_04.00.00	4.2957e-02	1.5358e+01	7.8889e-01			2.9382e+02
2021-04-06_05.00.00	4.1325e-02	1.4948e+01	7.4716e-01			2.9341e+02
2021-04-06_06.00.00	3.9476e-02	1.4466e+01	7.0268e-01			2.9245e+02
2021-04-06_07.00.00	3.9048e-02	1.4329e+01	6.9891e-01		2.8200e-07	2.8969e+02
2021-04-06_08.00.00	4.2071e-02	1.5023e+01	7.9718e-01		9.6081e-04	2.8987e+02
2021-04-06_09.00.00	3.8513e-02	1.4200e+01	6.8540e-01			2.9003e+02
2021-04-06_10.00.00	3.9555e-02	1.4462e+01	7.1409e-01			2.9059e+02
2021-04-06_11.00.00	4.1583e-02	1.4958e+01	7.7395e-01			2.9124e+02
2021-04-06_12.00.00	4.1556e-02	1.4977e+01	7.6835e-01			2.9220e+02
2021-04-06_13.00.00	4.2937e-02	1.5335e+01	8.0458e-01			2.9104e+02
2021-04-06_14.00.00	4.2819e-02	1.5323e+01	7.9752e-01			2.9015e+02
2021-04-06_15.00.00	4.3524e-02	1.5509e+01	8.1470e-01			2.8964e+02
2021-04-06_16.00.00	4.6208e-02	1.6180e+01	8.8603e-01			2.8954e+02
2021-04-06_17.00.00	4.8991e-02	1.6901e+01	9.5652e-01			2.8954e+02
2021-04-06_18.00.00	4.9858e-02	1.7140e+01	9.7822e-01			2.9077e+02
2021-04-06_19.00.00	5.3277e-02	1.7965e+01	1.0767e+00		3.9380e-05	2.9279e+02
2021-04-06_20.00.00	5.5270e-02	1.8454e+01	1.1312e+00		3.9920e-04	2.9418e+02
2021-04-06_21.00.00	5.3869e-02	1.8122e+01	1.0929e+00			2.9470e+02
2021-04-06_22.00.00	5.4870e-02	1.8386e+01	1.1152e+00			2.9445e+02
2021-04-06_23.00.00	5.8329e-02	1.9241e+01	1.2080e+00			2.9294e+02
2021-04-07_00.00.00	6.0880e-02	1.9882e+01	1.2696e+00			2.9161e+02
2021-04-07_01.00.00	6.6055e-02	2.1141e+01	1.4057e+00			2.8975e+02
2021-04-07_02.00.00	6.9323e-02	2.1959e+01	1.4893e+00			2.8956e+02
2021-04-07_03.00.00	7.4047e-02	2.3128e+01	1.6090e+00			2.9003e+02
2021-04-07_04.00.00	8.1229e-02	2.4856e+01	1.7925e+00			2.9105e+02
2021-04-07_05.00.00	8.3814e-02	2.5526e+01	1.8492e+00			2.9245e+02
2021-04-07_06.00.00	8.9236e-02	2.6797e+01	1.9896e+00			2.9334e+02
2021-04-07_07.00.00	9.0246e-02	2.7044e+01	2.0106e+00		5.3100e-06	2.9401e+02
2021-04-07_08.00.00	9.0934e-02	2.7223e+01	2.0242e+00		5.5300e-05	2.9508e+02
2021-04-07_09.00.00	9.6217e-02	2.8507e+01	2.1520e+00		3.7300e-04	2.9732e+02
2021-04-07_10.00.00	1.0049e-01	2.9499e+01	2.2618e+00		6.5580e-04	2.9815e+02
2021-04-07_11.00.00	1.0147e-01	2.9778e+01	2.2730e+00		1.0562e-03	2.9914e+02
2021-04-07_12.00.00	1.0223e-01	3.0009e+01	2.2832e+00		1.1092e-03	2.9973e+02
2021-04-07_13.00.00	1.0535e-01	3.0750e+01	2.3420e+00		7.9777e-04	2.9821e+02
2021-04-07_14.00.00	1.1003e-01	3.1862e+01	2.4461e+00		5.6753e-04	2.9870e+02
2021-04-07_15.00.00	1.2048e-01	3.4308e+01	2.6895e+00		4.5694e-04	3.0029e+02
2021-04-07_16.00.00	1.2743e-01	3.5927e+01	2.8475e+00		3.0960e-04	3.0091e+02
2021-04-07_17.00.00	1.3453e-01	3.7569e+01	3.0043e+00			3.0258e+02
2021-04-07_18.00.00	1.4021e-01	3.8857e+01	3.1189e+00			3.0414e+02
2021-04-07_19.00.00	1.4609e-01	4.0223e+01	3.2460e+00			3.0475e+02
2021-04-07_20.00.00	1.4176e-01	3.9263e+01	3.1394e+00			3.0307e+02
2021-04-07_21.00.00	1.3638e-01	3.8004e+01	3.0306e+00		4.0320e-05	3.0104e+02
2021-04-07_22.00.00	1.3687e-01	3.8085e+01	3.0431e+00		5.5365e-04	3.0082e+02
