date	tau	Tb	pwv	lwp	iwp	o3
2021-04-04_06.00.00	3.0328e-01	7.5043e+01	5.9144e+00			2.9395e+02
2021-04-04_07.00.00	2.9700e-01	7.3803e+01	5.7754e+00			2.9381e+02
2021-04-04_08.00.00	2.8803e-01	7.1975e+01	5.5936e+00			2.9521e+02
2021-04-04_09.00.00	2.7307e-01	6.8936e+01	5.3009e+00			2.9620e+02
2021-04-04_10.00.00	2.6301e-01	6.6858e+01	5.0969e+00			2.9572e+02
2021-04-04_11.00.00	2.5756e-01	6.5713e+01	4.9900e+00			2.9544e+02
2021-04-04_12.00.00	2.4234e-01	6.2548e+01	4.6923e+00			2.9604e+02
2021-04-04_13.00.00	2.1841e-01	5.7488e+01	4.2208e+00			2.9512e+02
2021-04-04_14.00.00	2.0643e-01	5.4921e+01	3.9807e+00			2.9455e+02
2021-04-04_15.00.00	1.9257e-01	5.1904e+01	3.7125e+00			2.9422e+02
2021-04-04_16.00.00	1.8466e-01	5.0162e+01	3.5498e+00			2.9534e+02
2021-04-04_17.00.00	1.8032e-01	4.9209e+01	3.4547e+00			2.9456e+02
2021-04-04_18.00.00	1.8473e-01	5.0226e+01	3.5217e+00			2.9013e+02
2021-04-04_19.00.00	2.1022e-01	5.5850e+01	4.0225e+00			2.8611e+02
2021-04-04_20.00.00	2.3004e-01	6.0149e+01	4.4155e+00			2.8497e+02
2021-04-04_21.00.00	2.5216e-01	6.4829e+01	4.8740e+00			2.8700e+02
2021-04-04_22.00.00	2.7618e-01	6.9721e+01	5.3956e+00			2.8808e+02
2021-04-04_23.00.00	2.7952e-01	7.0353e+01	5.5199e+00			2.8394e+02
2021-04-05_00.00.00	2.6017e-01	6.6397e+01	5.1610e+00			2.8212e+02
2021-04-05_01.00.00	2.5035e-01	6.4265e+01	4.9981e+00			2.8206e+02
2021-04-05_02.00.00	2.3497e-01	6.0843e+01	4.7814e+00			2.8223e+02
2021-04-05_03.00.00	2.1112e-01	5.5613e+01	4.3412e+00			2.8247e+02
2021-04-05_04.00.00	1.9918e-01	5.2892e+01	4.1323e+00		3.0094e-05	2.8453e+02
2021-04-05_05.00.00	1.9293e-01	5.1342e+01	4.0441e+00		1.0210e-03	2.8616e+02
2021-04-05_06.00.00	1.8393e-01	4.9123e+01	3.9038e+00		1.8678e-03	2.8819e+02
2021-04-05_07.00.00	1.7150e-01	4.6238e+01	3.6576e+00		1.2756e-04	2.8862e+02
2021-04-05_08.00.00	1.6620e-01	4.4987e+01	3.5510e+00			2.9040e+02
2021-04-05_09.00.00	1.5756e-01	4.3061e+01	3.3526e+00		7.5890e-05	2.9309e+02
2021-04-05_10.00.00	1.4965e-01	4.1215e+01	3.1860e+00		1.4030e-04	2.9362e+02
2021-04-05_11.00.00	1.3973e-01	3.8990e+01	2.9522e+00		6.6165e-04	2.9505e+02
2021-04-05_12.00.00	1.3496e-01	3.7913e+01	2.8453e+00		1.8965e-03	2.9237e+02
2021-04-05_13.00.00	1.4065e-01	3.9166e+01	2.9852e+00		1.5019e-03	2.9135e+02
2021-04-05_14.00.00	1.4978e-01	4.1179e+01	3.2062e+00		1.3955e-03	2.9236e+02
2021-04-05_15.00.00	1.6099e-01	4.3572e+01	3.4816e+00		4.4241e-03	2.9255e+02
2021-04-05_16.00.00	1.5689e-01	4.2763e+01	3.3586e+00		3.5790e-03	2.9334e+02
2021-04-05_17.00.00	1.5408e-01	4.2093e+01	3.3016e+00		1.1304e-03	2.9411e+02
2021-04-05_18.00.00	1.6410e-01	4.4316e+01	3.5211e+00		2.8580e-03	2.9642e+02
2021-04-05_19.00.00	1.9016e-01	5.0047e+01	4.1065e+00		1.2788e-03	2.9836e+02
2021-04-05_20.00.00	1.7128e-01	4.6087e+01	3.6427e+00		1.3404e-03	3.0038e+02
2021-04-05_21.00.00	1.6761e-01	4.5194e+01	3.5804e+00		1.4960e-04	3.0176e+02
2021-04-05_22.00.00	1.7784e-01	4.7366e+01	3.8335e+00		1.2696e-04	3.0247e+02
2021-04-05_23.00.00	1.7478e-01	4.6745e+01	3.7592e+00		1.8772e-05	3.0291e+02
2021-04-06_00.00.00	1.9028e-01	5.0440e+01	4.0454e+00		2.1840e-03	3.0177e+02
2021-04-06_01.00.00	1.8355e-01	4.9067e+01	3.8790e+00		6.9115e-03	3.0026e+02
2021-04-06_02.00.00	1.8858e-01	5.0139e+01	3.9951e+00		8.1376e-03	3.0039e+02
2021-04-06_03.00.00	2.1009e-01	5.4791e+01	4.4828e+00		6.8379e-03	3.0106e+02
2021-04-06_04.00.00	2.2321e-01	5.7622e+01	4.7523e+00		4.3987e-03	3.0083e+02
2021-04-06_05.00.00	2.3550e-01	6.0230e+01	4.9952e+00		7.8895e-04	3.0067e+02
2021-04-06_06.00.00	2.4338e-01	6.1912e+01	5.1484e+00		5.6668e-04	2.9948e+02
2021-04-06_07.00.00	2.2881e-01	5.8791e+01	4.8540e+00		3.1489e-04	2.9952e+02
2021-04-06_08.00.00	2.0432e-01	5.3491e+01	4.3539e+00			2.9746e+02
2021-04-06_09.00.00	1.7852e-01	4.7696e+01	3.8302e+00			2.9652e+02
2021-04-06_10.00.00	1.4945e-01	4.0908e+01	3.2335e+00			2.9581e+02
2021-04-06_11.00.00	1.1827e-01	3.3504e+01	2.5613e+00			2.9675e+02
2021-04-06_12.00.00	1.1476e-01	3.2601e+01	2.4990e+00			2.9841e+02
2021-04-06_13.00.00	1.1144e-01	3.1892e+01	2.3976e+00			3.0009e+02
2021-04-06_14.00.00	1.1460e-01	3.2691e+01	2.4573e+00			2.9895e+02
2021-04-06_15.00.00	1.2436e-01	3.4969e+01	2.6810e+00		1.7562e-04	2.9861e+02
2021-04-06_16.00.00	1.2474e-01	3.5099e+01	2.6853e+00		3.7180e-05	2.9785e+02
2021-04-06_17.00.00	1.2543e-01	3.5200e+01	2.7158e+00		1.0904e-03	2.9604e+02
2021-04-06_18.00.00	1.2981e-01	3.6209e+01	2.8189e+00			2.9566e+02
2021-04-06_19.00.00	1.4941e-01	4.0634e+01	3.2710e+00		1.6022e-05	2.9577e+02
2021-04-06_20.00.00	1.7885e-01	4.7382e+01	3.8941e+00		2.3237e-05	2.9602e+02
2021-04-06_21.00.00	1.9013e-01	4.9728e+01	4.1892e+00		1.5155e-03	2.9654e+02
2021-04-06_22.00.00	1.9538e-01	5.0715e+01	4.3548e+00		3.5089e-03	2.9626e+02
2021-04-06_23.00.00	1.9096e-01	4.9882e+01	4.2312e+00		1.6747e-04	2.9661e+02
2021-04-07_00.00.00	1.8909e-01	4.9405e+01	4.2071e+00		5.6201e-03	2.9559e+02
2021-04-07_01.00.00	1.8654e-01	4.8860e+01	4.1513e+00		7.4060e-03	2.9642e+02
2021-04-07_02.00.00	1.8329e-01	4.8152e+01	4.0710e+00		9.9580e-03	2.9665e+02
2021-04-07_03.00.00	1.7699e-01	4.6834e+01	3.9092e+00		1.4040e-02	2.9677e+02
2021-04-07_04.00.00	1.8889e-01	4.9500e+01	4.1656e+00		5.6589e-03	2.9590e+02
2021-04-07_05.00.00	2.0305e-01	5.2688e+01	4.4497e+00		4.3733e-03	2.9476e+02
2021-04-07_06.00.00	2.0021e-01	5.2139e+01	4.3656e+00		2.6397e-03	2.9448e+02
2021-04-07_07.00.00	1.8988e-01	4.9905e+01	4.1311e+00		3.4153e-03	2.9386e+02
2021-04-07_08.00.00	1.7936e-01	4.7558e+01	3.9092e+00		6.4141e-04	2.9408e+02
2021-04-07_09.00.00	1.7075e-01	4.5583e+01	3.7462e+00		3.5355e-03	2.9322e+02
2021-04-07_10.00.00	1.6593e-01	4.4522e+01	3.6349e+00		1.3414e-03	2.9481e+02
2021-04-07_11.00.00	1.6775e-01	4.4881e+01	3.6835e+00		1.7598e-03	2.9686e+02
2021-04-07_12.00.00	1.6300e-01	4.3878e+01	3.5582e+00		9.0485e-03	2.9953e+02
2021-04-07_13.00.00	1.5657e-01	4.2506e+01	3.4057e+00		6.8550e-03	3.0015e+02
2021-04-07_14.00.00	1.5204e-01	4.1515e+01	3.2948e+00		2.0513e-03	2.9994e+02
2021-04-07_15.00.00	1.5168e-01	4.1408e+01	3.2953e+00		1.5264e-03	3.0043e+02
2021-04-07_16.00.00	1.5407e-01	4.1973e+01	3.3420e+00		4.2689e-03	2.9826e+02
2021-04-07_17.00.00	1.5737e-01	4.2777e+01	3.3907e+00		5.4601e-03	2.9832e+02
2021-04-07_18.00.00	1.6202e-01	4.3913e+01	3.4717e+00		1.2290e-03	2.9721e+02
2021-04-07_19.00.00	1.6907e-01	4.5554e+01	3.6104e+00		5.1335e-04	2.9451e+02
2021-04-07_20.00.00	1.7959e-01	4.7921e+01	3.8255e+00		1.1720e-03	2.9363e+02
2021-04-07_21.00.00	1.9120e-01	5.0509e+01	4.0668e+00		9.1860e-04	2.9240e+02
2021-04-07_22.00.00	1.9840e-01	5.2215e+01	4.1828e+00		5.6820e-05	2.9038e+02
2021-04-07_23.00.00	2.0614e-01	5.3848e+01	4.3754e+00		1.0600e-05	2.8975e+02
2021-04-08_00.00.00	2.0659e-01	5.4008e+01	4.3737e+00			2.8821e+02
2021-04-08_01.00.00	1.9719e-01	5.2096e+01	4.1189e+00			2.8717e+02
2021-04-08_02.00.00	1.9480e-01	5.1639e+01	4.0510e+00			2.8689e+02
2021-04-08_03.00.00	2.0498e-01	5.3786e+01	4.2960e+00			2.8697e+02
2021-04-08_04.00.00	2.0707e-01	5.4321e+01	4.2957e+00			2.8870e+02
2021-04-08_05.00.00	2.1740e-01	5.6499e+01	4.4998e+00			2.9013e+02
2021-04-08_06.00.00	2.2574e-01	5.8265e+01	4.6533e+00			2.9042e+02
2021-04-08_07.00.00	2.2903e-01	5.9011e+01	4.6790e+00			2.9106e+02
2021-04-08_08.00.00	2.3539e-01	6.0360e+01	4.7812e+00			2.9014e+02
2021-04-08_09.00.00	2.3750e-01	6.0966e+01	4.7490e+00			2.9114e+02
2021-04-08_10.00.00	2.3773e-01	6.1008e+01	4.7349e+00			2.8675e+02
2021-04-08_11.00.00	2.2965e-01	5.9288e+01	4.5843e+00			2.8623e+02
2021-04-08_12.00.00	2.2250e-01	5.7704e+01	4.4666e+00			2.8813e+02
2021-04-08_13.00.00	2.1735e-01	5.6539e+01	4.3733e+00			2.8827e+02
2021-04-08_14.00.00	2.0862e-01	5.4696e+01	4.1769e+00			2.8641e+02
2021-04-08_15.00.00	2.0027e-01	5.2875e+01	4.0134e+00			2.8556e+02
2021-04-08_16.00.00	1.9473e-01	5.1663e+01	3.8987e+00			2.8543e+02
2021-04-08_17.00.00	1.9584e-01	5.1888e+01	3.9163e+00			2.8258e+02
2021-04-08_18.00.00	2.0091e-01	5.3036e+01	3.9891e+00			2.8783e+02
2021-04-08_19.00.00	2.0503e-01	5.3962e+01	4.0561e+00			2.8488e+02
2021-04-08_20.00.00	2.0395e-01	5.3752e+01	4.0393e+00			2.8483e+02
2021-04-08_21.00.00	1.9759e-01	5.2385e+01	3.9295e+00			2.8623e+02
2021-04-08_22.00.00	1.9277e-01	5.1363e+01	3.8327e+00			2.8473e+02
2021-04-08_23.00.00	1.8976e-01	5.0723e+01	3.7758e+00			2.8332e+02
2021-04-09_00.00.00	1.8847e-01	5.0465e+01	3.7434e+00			2.8411e+02
2021-04-09_01.00.00	1.7402e-01	4.7237e+01	3.4564e+00			2.8331e+02
2021-04-09_02.00.00	1.5963e-01	4.4030e+01	3.1521e+00			2.8330e+02
2021-04-09_03.00.00	1.4633e-01	4.1020e+01	2.8699e+00			2.8186e+02
2021-04-09_04.00.00	1.3448e-01	3.8299e+01	2.6177e+00			2.8079e+02
2021-04-09_05.00.00	1.2757e-01	3.6664e+01	2.4773e+00			2.7961e+02
2021-04-09_06.00.00	1.2567e-01	3.6157e+01	2.4515e+00			2.7913e+02
2021-04-09_09.00.00	1.2086e-01	3.4903e+01	2.3807e+00			2.8051e+02
2021-04-09_12.00.00	1.4438e-01	4.0086e+01	2.9595e+00		1.5808e-03	2.8342e+02
2021-04-09_15.00.00	1.6753e-01	4.5090e+01	3.5273e+00		1.3493e-04	2.8215e+02
2021-04-09_18.00.00	1.8668e-01	4.9524e+01	3.8867e+00		7.0870e-04	2.7971e+02
2021-04-09_21.00.00	2.4397e-01	6.2123e+01	4.9927e+00		1.2110e-03	2.8207e+02
2021-04-10_00.00.00	2.0303e-01	5.3736e+01	4.1081e+00		6.7820e-05	2.8160e+02
2021-04-10_03.00.00	1.4245e-01	4.0338e+01	2.7753e+00		1.2100e-05	2.8275e+02
2021-04-10_06.00.00	1.0912e-01	3.2344e+01	2.1085e+00		3.6720e-05	2.8003e+02
2021-04-10_09.00.00	1.0952e-01	3.2382e+01	2.1264e+00		8.8255e-04	2.7689e+02
2021-04-10_12.00.00	1.0844e-01	3.1829e+01	2.1911e+00		1.6456e-03	2.7538e+02
2021-04-10_15.00.00	1.0779e-01	3.1409e+01	2.2536e+00		2.2537e-03	2.7715e+02
