date	tau	Tb	pwv	lwp	iwp	o3
2021-04-05_00.00.00	3.8267e-02	1.3268e+01	3.4274e-01		1.0292e-03	2.7116e+02
2021-04-05_01.00.00	3.8284e-02	1.3270e+01	3.4311e-01		1.4826e-03	2.7135e+02
2021-04-05_02.00.00	3.8240e-02	1.3258e+01	3.4249e-01		1.4818e-03	2.7120e+02
2021-04-05_03.00.00	3.8274e-02	1.3264e+01	3.4350e-01		1.5890e-03	2.7032e+02
2021-04-05_04.00.00	3.8267e-02	1.3261e+01	3.4399e-01		1.2379e-03	2.6835e+02
2021-04-05_05.00.00	3.8386e-02	1.3288e+01	3.4664e-01		8.9625e-04	2.6512e+02
2021-04-05_06.00.00	3.8295e-02	1.3266e+01	3.4483e-01		9.2788e-04	2.6268e+02
2021-04-05_07.00.00	3.8338e-02	1.3276e+01	3.4557e-01		9.2892e-04	2.6034e+02
2021-04-05_08.00.00	3.8192e-02	1.3240e+01	3.4240e-01		1.0642e-03	2.5822e+02
2021-04-05_09.00.00	3.8232e-02	1.3249e+01	3.4340e-01		7.5458e-04	2.5672e+02
2021-04-05_10.00.00	3.8215e-02	1.3243e+01	3.4313e-01		9.2470e-04	2.5688e+02
2021-04-05_11.00.00	3.8225e-02	1.3242e+01	3.4288e-01		1.1034e-03	2.5743e+02
2021-04-05_12.00.00	3.8068e-02	1.3204e+01	3.3957e-01		8.7909e-04	2.5720e+02
2021-04-05_13.00.00	3.8017e-02	1.3193e+01	3.3844e-01		7.7084e-04	2.6136e+02
2021-04-05_14.00.00	3.7807e-02	1.3143e+01	3.3429e-01		7.0958e-04	2.6642e+02
2021-04-05_15.00.00	3.7580e-02	1.3091e+01	3.3052e-01		6.8168e-04	2.6666e+02
2021-04-05_16.00.00	3.7390e-02	1.3046e+01	3.2715e-01		6.4728e-04	2.6237e+02
2021-04-05_17.00.00	3.7297e-02	1.3022e+01	3.2571e-01		6.4018e-04	2.5928e+02
2021-04-05_18.00.00	3.7214e-02	1.3001e+01	3.2437e-01		5.9688e-04	2.5908e+02
